,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Sadio Mané,"€ 423,077","€ 22,000,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 66,000,000",,F,LW,30,Reserve,Senegal,,,Bayern Munich,Bundesliga,2022-2023
1,Manuel Neuer,"€ 403,846","€ 21,000,000",,"May 23, 2022","Jun 30, 2024",2,"€ 42,000,000",,K,GK,36,Reserve,Germany,,,Bayern Munich,Bundesliga,2022-2023
2,Thomas Müller,"€ 394,231","€ 20,500,000",,"May 3, 2022","Jun 30, 2024",2,"€ 41,000,000",,F,SS,33,Starter,Germany,,,Bayern Munich,Bundesliga,2022-2023
3,Leroy Sané,"€ 384,615","€ 20,000,000",,"Jul 15, 2020","Jun 30, 2025",3,"€ 60,000,000",,F,LW,27,Starter,Germany,,,Bayern Munich,Bundesliga,2022-2023
4,Joshua Kimmich,"€ 375,000","€ 19,500,000",,"Aug 23, 2021","Jun 30, 2025",3,"€ 58,500,000",,M,DM,27,Starter,Germany,,,Bayern Munich,Bundesliga,2022-2023
5,Serge Gnabry,"€ 362,885","€ 18,870,000",,"Jul 16, 2022","Jun 30, 2026",4,"€ 75,480,000",,F,RW,27,Reserve,Germany,,,Bayern Munich,Bundesliga,2022-2023
6,Lucas Hernández,"€ 346,154","€ 18,000,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 36,000,000",,D,CB,26,Reserve,France,,,Bayern Munich,Bundesliga,2022-2023
7,Leon Goretzka,"€ 346,154","€ 18,000,000",,"Sep 16, 2021","Jun 30, 2026",4,"€ 72,000,000",,M,CM,27,Starter,Germany,,,Bayern Munich,Bundesliga,2022-2023
8,Kingsley Coman,"€ 326,923","€ 17,000,000",,"Jan 12, 2022","Jun 30, 2027",5,"€ 85,000,000",,F,RW,26,Reserve,France,,,Bayern Munich,Bundesliga,2022-2023
9,Matthijs de Ligt,"€ 307,692","€ 16,000,000",,"Jul 19, 2022","Jun 30, 2027",5,"€ 80,000,000",,D,CB,23,Starter,Netherlands,,,Bayern Munich,Bundesliga,2022-2023
10,Alphonso Davies,"€ 216,346","€ 11,250,000",,"Apr 20, 2020","Jun 30, 2025",3,"€ 33,750,000",,D,LB,22,Reserve,Canada,,,Bayern Munich,Bundesliga,2022-2023
11,Dayot Upamecano,"€ 192,308","€ 10,000,000",,"Jul 5, 2021","Jun 30, 2026",4,"€ 40,000,000",,D,CB,24,Starter,France,,,Bayern Munich,Bundesliga,2022-2023
12,Ryan Gravenberch,"€ 176,923","€ 9,200,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 46,000,000",,M,CM,20,Reserve,Netherlands,,,Bayern Munich,Bundesliga,2022-2023
13,Noussair Mazraoui,"€ 153,846","€ 8,000,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 32,000,000",,D,RB,25,Reserve,Morocco,,,Bayern Munich,Bundesliga,2022-2023
14,João Cancelo,"€ 138,462","€ 7,200,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 7,200,000",,D,RB,28,Starter,Portugal,,,Bayern Munich,Bundesliga,2022-2023
15,Eric Maxim Choupo-Moting,"€ 134,615","€ 7,000,000","€ 3,000,000","Mar 3, 2023","Jun 30, 2024",2,"€ 14,000,000",,F,CF,33,Starter,Cameroon,,,Bayern Munich,Bundesliga,2022-2023
16,Yann Sommer,"€ 96,154","€ 5,000,000",,"Jan 19, 2023","Jun 30, 2025",3,"€ 15,000,000",,K,GK,34,Starter,Switzerland,,,Bayern Munich,Bundesliga,2022-2023
17,Benjamin Pavard,"€ 96,154","€ 5,000,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 10,000,000",,D,RB,26,Starter,France,,,Bayern Munich,Bundesliga,2022-2023
18,Jamal Musiala,"€ 96,154","€ 5,000,000",,"Mar 5, 2021","Jun 30, 2026",4,"€ 20,000,000",,F,AM,19,Starter,Germany,,,Bayern Munich,Bundesliga,2022-2023
19,Mathys Tel,"€ 76,923","€ 4,000,000",,"Jul 26, 2022","Jun 30, 2025",3,"€ 12,000,000",,F,CF,17,Reserve,France,,,Bayern Munich,Bundesliga,2022-2023
20,Sven Ulreich,"€ 57,692","€ 3,000,000",,"Nov 11, 2022","Jun 30, 2024",2,"€ 6,000,000",,K,GK,34,Reserve,Germany,,,Bayern Munich,Bundesliga,2022-2023
21,Daley Blind,"€ 38,462","€ 2,000,000","€ 500,000","Jan 5, 2023","Jun 30, 2023",1,"€ 2,000,000",,D,LB,32,Reserve,Netherlands,,,Bayern Munich,Bundesliga,2022-2023
22,Bouna Sarr,"€ 36,538","€ 1,900,000",,"Oct 5, 2020","Jun 30, 2024",2,"€ 3,800,000",,D,RB,31,Reserve,Senegal,,,Bayern Munich,Bundesliga,2022-2023
23,Josip Stanisic,"€ 36,346","€ 1,890,000",,"Nov 12, 2022","Jun 30, 2026",4,"€ 7,560,000",,D,RB,22,Reserve,Croatia,,,Bayern Munich,Bundesliga,2022-2023
24,Johannes Schenk,"€ 3,462","€ 180,000",,"Aug 4, 2022","Jun 30, 2024",2,"€ 360,000",,K,GK,20,Reserve,Germany,,,Bayern Munich,Bundesliga,2022-2023
25,Paul Wanner,"€ 1,154","€ 60,000",,"Jan 31, 2022","Jun 30, 2027",5,"€ 300,000",,F,AM,17,Reserve,Austria,,,Bayern Munich,Bundesliga,2022-2023
26,Marcel Sabitzer,€ 0,€ 0,,"Aug 30, 2021","Jun 30, 2025",3,€ 0,,M,CM,28,Reserve,Austria,,,Bayern Munich,Bundesliga,2022-2023
27,Arijon Ibrahimovic,€ 0,€ 0,,"Jan 17, 2023","Jun 30, 2025",3,€ 0,,F,AM,17,Reserve,Germany,,,Bayern Munich,Bundesliga,2022-2023
28,Total,"€ 5,222,116","€ 271,550,000","€ 3,500,000",,,,"€ 865,950,000",€ 0,,,,,,,,Bayern Munich,Bundesliga,2022-2023
