,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Kevin Trapp,"€ 67,308","€ 3,500,000",,"Feb 3, 2023","Jun 30, 2024",2,"€ 7,000,000",,K,GK,32,Starter,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
1,Mario Götze,"€ 67,308","€ 3,500,000","€ 1,500,000","Jul 1, 2022","Jun 30, 2025",3,"€ 10,500,000",,F,AM,30,Starter,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
2,Santos Borré,"€ 48,077","€ 2,500,000",,"Jul 5, 2021","Jun 30, 2025",3,"€ 7,500,000",,F,CF,27,Reserve,Colombia,,,Eintracht Frankfurt,Bundesliga,2022-2023
3,Lucas Alario,"€ 48,077","€ 2,500,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 7,500,000",,F,CF,30,Reserve,Argentina,,,Eintracht Frankfurt,Bundesliga,2022-2023
4,Sebastian Rode,"€ 40,385","€ 2,100,000",,"Jul 27, 2019","Jun 30, 2024",2,"€ 4,200,000",,M,CM,32,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
5,Djibril Sow,"€ 39,808","€ 2,070,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 4,140,000",,M,CM,25,Starter,Switzerland,,,Eintracht Frankfurt,Bundesliga,2022-2023
6,Daichi Kamada,"€ 38,462","€ 2,000,000",,"Sep 16, 2020","Jun 30, 2023",1,"€ 2,000,000",,F,AM,26,Starter,Japan,,,Eintracht Frankfurt,Bundesliga,2022-2023
7,Philipp Max,"€ 38,269","€ 1,990,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 1,990,000",,D,LB,29,Starter,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
8,Almamy Touré,"€ 32,692","€ 1,700,000",,"Jan 31, 2019","Jun 30, 2023",1,"€ 1,700,000",,D,CB,26,Reserve,Mali,,,Eintracht Frankfurt,Bundesliga,2022-2023
9,Jesper Lindström,"€ 31,538","€ 1,640,000",,"Jul 11, 2021","Jun 30, 2026",4,"€ 6,560,000",,F,AM,22,Starter,Denmark,,,Eintracht Frankfurt,Bundesliga,2022-2023
10,Randal Kolo Muani,"€ 28,846","€ 1,500,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 7,500,000",,F,CF,24,Starter,France,,,Eintracht Frankfurt,Bundesliga,2022-2023
11,Timothy Chandler,"€ 26,923","€ 1,400,000",,"May 6, 2021","Jun 30, 2025",3,"€ 4,200,000",,D,RB,32,Reserve,United States,,,Eintracht Frankfurt,Bundesliga,2022-2023
12,Makoto Hasebe,"€ 26,923","€ 1,400,000",,"Feb 18, 2022","Jun 30, 2023",1,"€ 1,400,000",,D,CB,39,Starter,Japan,,,Eintracht Frankfurt,Bundesliga,2022-2023
13,Evan N'Dicka,"€ 23,077","€ 1,200,000",,"Jul 5, 2018","Jun 30, 2023",1,"€ 1,200,000",,D,CB,23,Starter,France,,,Eintracht Frankfurt,Bundesliga,2022-2023
14,Christopher Lenz,"€ 13,846","€ 720,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 1,440,000",,D,LB,28,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
15,Aurélio Buta,"€ 9,231","€ 480,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 1,920,000",,D,RB,25,Starter,Portugal,,,Eintracht Frankfurt,Bundesliga,2022-2023
16,Faride Alidou,"€ 8,077","€ 420,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 1,680,000",,F,LW,21,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
17,Éric Ebimbe,"€ 8,077","€ 420,000",,"Aug 21, 2022","Jun 30, 2023",1,"€ 420,000",,M,RM,22,Reserve,France,,,Eintracht Frankfurt,Bundesliga,2022-2023
18,Jens Grahl,"€ 6,731","€ 350,000",,"Feb 2, 2023","Jun 30, 2024",2,"€ 700,000",,K,GK,34,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
19,Kristijan Jakic,"€ 5,769","€ 300,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 1,200,000",,M,DM,25,Reserve,Croatia,,,Eintracht Frankfurt,Bundesliga,2022-2023
20,Marcel Wenig,"€ 5,769","€ 300,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 900,000",,M,CM,18,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
21,Tuta,"€ 4,038","€ 210,000",,"May 17, 2022","Jun 30, 2026",4,"€ 840,000",,D,CB,23,Starter,Brazil,,,Eintracht Frankfurt,Bundesliga,2022-2023
22,Diant Ramaj,"€ 3,846","€ 200,000",,"May 24, 2022","Jun 30, 2027",5,"€ 1,000,000",,K,GK,21,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
23,Ansgar Knauff,"€ 3,077","€ 160,000",,"Jan 20, 2022","Jun 30, 2023",1,"€ 160,000",,F,RW,21,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
24,Hrvoje Smolcic,"€ 2,885","€ 150,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 750,000",,D,CB,22,Reserve,Croatia,,,Eintracht Frankfurt,Bundesliga,2022-2023
25,Mehdi Loune,"€ 2,308","€ 120,000",,"May 10, 2022","Jun 30, 2025",3,"€ 360,000",,M,CM,18,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
26,Jan Schröder,€ 769,"€ 40,000",,"Aug 20, 2021","Jun 30, 2023",1,"€ 40,000",,D,LB,19,Reserve,Germany,,,Eintracht Frankfurt,Bundesliga,2022-2023
27,Nacho Ferri,€ 0,€ 0,,"Oct 5, 2022","Jun 30, 2025",3,€ 0,,F,CF,18,Reserve,Spain,,,Eintracht Frankfurt,Bundesliga,2022-2023
28,Simon Simoni,€ 0,€ 0,,"Jan 1, 2023","Jun 30, 2027",5,€ 0,,K,GK,18,Reserve,Albania,,,Eintracht Frankfurt,Bundesliga,2022-2023
29,Paxten Aaronson,€ 0,€ 0,,"Jan 1, 2023","Jun 30, 2027",5,€ 0,,F,AM,19,Reserve,United States,,,Eintracht Frankfurt,Bundesliga,2022-2023
30,Total,"€ 632,116","€ 32,870,000","€ 1,500,000",,,,"€ 78,800,000",€ 0,,,,,,,,Eintracht Frankfurt,Bundesliga,2022-2023
