,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRM,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Angeliño,"€ 90,385","€ 4,700,000",,"Aug 8, 2022","Jun 30, 2023",1,"€ 4,700,000",,D,LB,26,Starter,Spain,,,Hoffenheim,Bundesliga,2022-2023
1,Sebastian Rudy,"€ 84,615","€ 4,400,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 4,400,000",,M,DM,32,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
2,Thomas Delaney,"€ 66,731","€ 3,470,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 3,470,000",,M,CM,31,Starter,Denmark,,,Hoffenheim,Bundesliga,2022-2023
3,Oliver Baumann,"€ 60,577","€ 3,150,000",,"Dec 9, 2021","Jun 30, 2024",2,"€ 6,300,000",,K,GK,32,Starter,Germany,,,Hoffenheim,Bundesliga,2022-2023
4,Ozan Kabak,"€ 60,577","€ 3,150,000",,"Jul 23, 2022","Jun 30, 2026",4,"€ 12,600,000",,D,CB,22,Starter,Turkey,,,Hoffenheim,Bundesliga,2022-2023
5,Kasper Dolberg,"€ 57,692","€ 3,000,000",,"Jan 2, 2023","Jun 30, 2023",1,"€ 3,000,000",,F,CF,25,Reserve,Denmark,,,Hoffenheim,Bundesliga,2022-2023
6,Andrej Kramaric,"€ 55,769","€ 2,900,000",,"Mar 12, 2022","Jun 30, 2025",3,"€ 8,700,000",,F,CF,31,Starter,Croatia,,,Hoffenheim,Bundesliga,2022-2023
7,Munas Dabbur,"€ 38,462","€ 2,000,000",,"Jan 7, 2020","Jun 30, 2024",2,"€ 4,000,000",,F,CF,30,Reserve,Israel,,,Hoffenheim,Bundesliga,2022-2023
8,Robert Skov,"€ 34,615","€ 1,800,000",,"Jul 29, 2019","Jun 30, 2024",2,"€ 3,600,000",,M,RM,26,Reserve,Denmark,,,Hoffenheim,Bundesliga,2022-2023
9,Ihlas Bebou,"€ 32,692","€ 1,700,000",,"Dec 17, 2021","Jun 30, 2026",4,"€ 6,800,000",,F,CF,28,Starter,Togo,,,Hoffenheim,Bundesliga,2022-2023
10,Pavel Kaderabek,"€ 32,692","€ 1,700,000",,"Jan 27, 2022","Jun 30, 2025",3,"€ 5,100,000",,D,RB,30,Reserve,Czech Republic,,,Hoffenheim,Bundesliga,2022-2023
11,Kevin Vogt,"€ 32,692","€ 1,700,000",,"Jan 13, 2022","Jun 30, 2025",3,"€ 5,100,000",,D,CB,31,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
12,Angelo Stiller,"€ 23,077","€ 1,200,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 3,600,000",,M,DM,21,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
13,Ermin Bicakcic,"€ 23,077","€ 1,200,000",,"Jun 23, 2022","Jun 30, 2023",1,"€ 1,200,000",,D,CB,33,Reserve,Bosnia-Herzegovina,,,Hoffenheim,Bundesliga,2022-2023
14,Stanley Nsoki,"€ 21,923","€ 1,140,000",,"Aug 3, 2022","Jun 30, 2027",5,"€ 5,700,000",,D,CB,23,Starter,France,,,Hoffenheim,Bundesliga,2022-2023
15,Dennis Geiger,"€ 19,038","€ 990,000",,"Sep 17, 2021","Jun 30, 2023",1,"€ 990,000",,M,CM,24,Starter,Germany,,,Hoffenheim,Bundesliga,2022-2023
16,Grischa Prömel,"€ 18,462","€ 960,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 3,840,000",,M,CM,28,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
17,Kevin Akpoguma,"€ 16,731","€ 870,000",,"Jan 15, 2020","Jun 30, 2024",2,"€ 1,740,000",,D,CB,27,Starter,Nigeria,,,Hoffenheim,Bundesliga,2022-2023
18,Muhammed Damar,"€ 9,231","€ 480,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 1,920,000",,F,AM,18,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
19,Fisnik Asllani,"€ 8,654","€ 450,000",,"Sep 30, 2022","Jun 30, 2026",4,"€ 1,800,000",,F,CF,20,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
20,Jacob Bruun Larsen,"€ 8,654","€ 450,000",,"Jan 31, 2020","Jun 30, 2024",2,"€ 900,000",,F,LW,24,Reserve,Denmark,,,Hoffenheim,Bundesliga,2022-2023
21,Christoph Baumgartner,"€ 7,500","€ 390,000",,"Mar 5, 2021","Jun 30, 2025",3,"€ 1,170,000",,F,AM,23,Starter,Austria,,,Hoffenheim,Bundesliga,2022-2023
22,Finn Ole Becker,"€ 6,923","€ 360,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 1,440,000",,M,CM,22,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
23,Eduardo Quaresma,"€ 4,808","€ 250,000",,"Aug 4, 2022","Jun 30, 2023",1,"€ 250,000",,D,CB,20,Reserve,Portugal,,,Hoffenheim,Bundesliga,2022-2023
24,Philipp Pentke,"€ 3,077","€ 160,000",,"Jan 25, 2022","Jun 30, 2023",1,"€ 160,000",,K,GK,37,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
25,Tom Bischof,"€ 1,538","€ 80,000",,"Jan 28, 2022","Jun 30, 2025",3,"€ 240,000",,F,AM,17,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
26,Nahue Noll,€ 769,"€ 40,000",,"Jul 16, 2021","Jun 30, 2025",3,"€ 120,000",,K,GK,19,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
27,Luca Philipp,€ 769,"€ 40,000",,"Jul 16, 2021","Jun 30, 2023",1,"€ 40,000",,K,GK,22,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
28,John Anthony Brooks,€ 0,€ 0,,"Jan 26, 2023","Jun 30, 2024",2,€ 0,,D,CB,30,Starter,United States,,,Hoffenheim,Bundesliga,2022-2023
29,Justin Che,€ 0,€ 0,,"Jan 18, 2023","Jun 30, 2023",1,€ 0,,D,RB,19,Reserve,United States,,,Hoffenheim,Bundesliga,2022-2023
30,Umut Tohumcu,€ 0,€ 0,,"Jan 18, 2023","Jun 30, 2026",4,€ 0,,M,CM,18,Reserve,Germany,,,Hoffenheim,Bundesliga,2022-2023
31,Total,"€ 821,730","€ 42,730,000",€ 0,,,,"€ 92,880,000",€ 0,,,,,,,,Hoffenheim,Bundesliga,2022-2023
