,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Dominick Drexler,"€ 86,731","€ 4,510,000",,"Jul 21, 2021","Jun 30, 2023",1,"€ 4,510,000",,F,AM,32,Reserve,Germany,,,Schalke 04,Bundesliga,2022-2023
1,Simon Terodde,"€ 73,654","€ 3,830,000",,"Mar 19, 2022","Jun 30, 2023",1,"€ 3,830,000",,F,CF,34,Reserve,Germany,,,Schalke 04,Bundesliga,2022-2023
2,Ralf Fährmann,"€ 53,846","€ 2,800,000",,"Aug 9, 2021","Jun 30, 2025",3,"€ 8,400,000",,K,GK,34,Starter,Germany,,,Schalke 04,Bundesliga,2022-2023
3,Danny Latza,"€ 52,885","€ 2,750,000",,"May 7, 2022","Jun 30, 2024",2,"€ 5,500,000",,M,CM,33,Reserve,Germany,,,Schalke 04,Bundesliga,2022-2023
4,Marius Bülter,"€ 39,231","€ 2,040,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 4,080,000",,F,LW,29,Reserve,Germany,,,Schalke 04,Bundesliga,2022-2023
5,Marcin Kaminski,"€ 37,885","€ 1,970,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 1,970,000",,D,CB,31,Reserve,Poland,,,Schalke 04,Bundesliga,2022-2023
6,Alex Král,"€ 34,423","€ 1,790,000",,"Jul 14, 2022","Jun 30, 2023",1,"€ 1,790,000",,M,DM,24,Starter,Czech Republic,,,Schalke 04,Bundesliga,2022-2023
7,Maya Yoshida,"€ 32,692","€ 1,700,000",,"Jul 5, 2022","Jun 30, 2023",1,"€ 1,700,000",,D,CB,34,Starter,Japan,,,Schalke 04,Bundesliga,2022-2023
8,Rodrigo Zalazar,"€ 31,923","€ 1,660,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 6,640,000",,F,AM,23,Starter,Uruguay,,,Schalke 04,Bundesliga,2022-2023
9,Éder Balanta,"€ 26,923","€ 1,400,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 1,400,000",,M,DM,29,Reserve,Colombia,,,Schalke 04,Bundesliga,2022-2023
10,Sebastian Polter,"€ 21,923","€ 1,140,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 3,420,000",,F,CF,31,Reserve,Germany,,,Schalke 04,Bundesliga,2022-2023
11,Cédric Brunner,"€ 19,615","€ 1,020,000",,"Jul 7, 2022","Jun 30, 2024",2,"€ 2,040,000",,D,RB,28,Starter,Switzerland,,,Schalke 04,Bundesliga,2022-2023
12,Tom Krauß,"€ 18,077","€ 940,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 940,000",,M,CM,21,Starter,Germany,,,Schalke 04,Bundesliga,2022-2023
13,Alexander Schwolow,"€ 16,923","€ 880,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 880,000",,K,GK,30,Reserve,Germany,,,Schalke 04,Bundesliga,2022-2023
14,Leo Greiml,"€ 15,000","€ 780,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,340,000",,D,CB,21,Reserve,Austria,,,Schalke 04,Bundesliga,2022-2023
15,Thomas Ouwejan,"€ 14,423","€ 750,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,500,000",,D,LB,26,Reserve,Netherlands,,,Schalke 04,Bundesliga,2022-2023
16,Tobias Mohr,"€ 14,423","€ 750,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,250,000",,F,LW,27,Reserve,Germany,,,Schalke 04,Bundesliga,2022-2023
17,Kenan Karaman,"€ 11,538","€ 600,000",,"Sep 1, 2022","Jun 30, 2025",3,"€ 1,800,000",,F,CF,28,Reserve,Turkey,,,Schalke 04,Bundesliga,2022-2023
18,Mehmet Aydin,"€ 10,962","€ 570,000",,"Jan 15, 2022","Jun 30, 2025",3,"€ 1,710,000",,D,RB,20,Reserve,Germany,,,Schalke 04,Bundesliga,2022-2023
19,Niklas Tauer,"€ 10,385","€ 540,000",,"Jan 1, 2023","Jun 30, 2024",2,"€ 1,080,000",,M,DM,21,Reserve,Germany,,,Schalke 04,Bundesliga,2022-2023
20,Sepp van den Berg,"€ 10,385","€ 540,000",,"Aug 30, 2022","Jun 30, 2023",1,"€ 540,000",,D,CB,21,Reserve,Netherlands,,,Schalke 04,Bundesliga,2022-2023
21,Nassim Boujellab,"€ 10,000","€ 520,000",,"Jul 24, 2021","Jun 30, 2023",1,"€ 520,000",,M,CM,23,Reserve,Morocco,,,Schalke 04,Bundesliga,2022-2023
22,Jere Uronen,"€ 9,231","€ 480,000",,"Jan 7, 2023","Jun 30, 2023",1,"€ 480,000",,D,LB,28,Starter,Finland,,,Schalke 04,Bundesliga,2022-2023
23,Moritz Jenz,"€ 9,038","€ 470,000",,"Jan 26, 2023","Jun 30, 2023",1,"€ 470,000",,D,CB,23,Starter,Germany,,,Schalke 04,Bundesliga,2022-2023
24,Michael Langer,"€ 8,846","€ 460,000",,"Jun 9, 2022","Jun 30, 2023",1,"€ 460,000",,K,GK,38,Reserve,Austria,,,Schalke 04,Bundesliga,2022-2023
25,Tim Skarke,"€ 8,077","€ 420,000",,"Jan 23, 2023","Jun 30, 2023",1,"€ 420,000",,F,RW,26,Starter,Germany,,,Schalke 04,Bundesliga,2022-2023
26,Michael Frey,"€ 6,154","€ 320,000",,"Jan 20, 2023","Jun 30, 2023",1,"€ 320,000",,F,CF,28,Starter,Switzerland,,,Schalke 04,Bundesliga,2022-2023
27,Henning Matriciani,"€ 5,192","€ 270,000",,"Sep 28, 2021","Jun 30, 2024",2,"€ 540,000",,D,CB,22,Reserve,Germany,,,Schalke 04,Bundesliga,2022-2023
28,Justin Heekeren,"€ 4,615","€ 240,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 720,000",,K,GK,22,Reserve,Germany,,,Schalke 04,Bundesliga,2022-2023
29,Ibrahima Cissé,"€ 4,615","€ 240,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 960,000",,D,CB,21,Reserve,Mali,,,Schalke 04,Bundesliga,2022-2023
30,Timothée Kolodziejczak,€ 0,€ 0,,"Oct 21, 2022","Jun 30, 2023",1,€ 0,,D,CB,31,Reserve,France,,,Schalke 04,Bundesliga,2022-2023
31,Soichiro Kozuki,€ 0,€ 0,,"Dec 30, 2022","Jun 30, 2025",3,€ 0,,M,RM,22,Starter,Japan,,,Schalke 04,Bundesliga,2022-2023
32,Andreas Ivan,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2024",2,€ 0,,F,LW,28,Reserve,Romania,,,Schalke 04,Bundesliga,2022-2023
33,Total,"€ 699,615","€ 36,380,000",€ 0,,,,"€ 63,210,000",€ 0,,,,,,,,Schalke 04,Bundesliga,2022-2023
