,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLWRBRWSS,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLWRB,Pos. CBCFCMDMGKLBRBRW,"Contract Expiration Jun 23, 2023Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027","Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2031",Years Remaining 123459,Pos. AMCBCFCMGKLBLWRBRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028Jun 30, 2029",Years Remaining 1234567
0,Luis Suárez,"€ 31,538","€ 1,640,000",,"Jan 1, 2023","Jun 30, 2023",1.0,"€ 1,640,000",,F,CF,25.0,Starter,Colombia,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
1,Lucas Robertone,"€ 21,923","€ 1,140,000",,"Dec 23, 2022","Jun 30, 2028",6.0,"€ 6,840,000","€ 40,000,000",M,CM,25.0,Reserve,Argentina,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
2,Dyego Sousa,"€ 20,000","€ 1,040,000",,"Mar 23, 2022","Jun 30, 2024",2.0,"€ 2,080,000",,F,CF,33.0,Reserve,Portugal,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
3,Chumi,"€ 18,654","€ 970,000",,"Mar 1, 2022","Jun 30, 2025",3.0,"€ 2,910,000",,D,CB,23.0,Reserve,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
4,Adrián Embarba,"€ 18,462","€ 960,000",,"Aug 24, 2022","Jun 30, 2026",4.0,"€ 3,840,000",,F,RW,30.0,Starter,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
5,Francisco Portillo,"€ 16,346","€ 850,000",,"Jul 22, 2021","Jun 30, 2023",1.0,"€ 850,000",,F,RW,32.0,Starter,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
6,Álex Centelles,"€ 15,385","€ 800,000",,"Jun 4, 2022","Jun 30, 2026",4.0,"€ 3,200,000",,D,LB,23.0,Reserve,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
7,Alejandro Pozo,"€ 13,846","€ 720,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 3,600,000",,D,RB,23.0,Starter,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
8,Iñigo Eguaras,"€ 11,923","€ 620,000",,"Jan 21, 2022","Jun 30, 2024",2.0,"€ 1,240,000",,M,DM,30.0,Starter,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
9,Léo Baptistão,"€ 11,538","€ 600,000",,"Aug 11, 2022","Jun 30, 2026",4.0,"€ 2,400,000",,F,SS,30.0,Reserve,Brazil,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
10,Rodrigo Ely,"€ 11,538","€ 600,000",,"Jun 4, 2022","Jun 30, 2024",2.0,"€ 1,200,000",,D,CB,29.0,Starter,Brazil,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
11,Gonzalo Melero,"€ 10,385","€ 540,000",,"Sep 1, 2022","Jun 30, 2026",4.0,"€ 2,160,000",,M,CM,29.0,Starter,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
12,Kaiky,"€ 10,385","€ 540,000",,"Jul 19, 2022","Jun 30, 2028",6.0,"€ 3,240,000",,D,CB,19.0,Reserve,Brazil,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
13,César de la Hoz,"€ 7,308","€ 380,000",,"Jul 4, 2018","Jun 30, 2023",1.0,"€ 380,000",,M,CM,30.0,Reserve,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
14,Lázaro,"€ 6,923","€ 360,000",,"Sep 1, 2022","Jun 30, 2028",6.0,"€ 2,160,000",,F,LW,20.0,Reserve,Brazil,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
15,Houboulang Mendes,"€ 5,769","€ 300,000",,"Jul 6, 2022","Jun 30, 2026",4.0,"€ 1,200,000",,D,RB,24.0,Reserve,Guinea-Bissau,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
16,El Bilal Touré,"€ 5,769","€ 300,000",,"Sep 1, 2022","Jun 30, 2028",6.0,"€ 1,800,000",,F,CF,21.0,Reserve,Mali,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
17,Fernando Martínez,"€ 4,615","€ 240,000",,"Jan 19, 2023","Jun 30, 2025",3.0,"€ 720,000",,K,GK,32.0,Starter,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
18,Samú Costa,"€ 3,462","€ 180,000",,"Jul 1, 2021","Jun 30, 2026",4.0,"€ 720,000",,M,DM,22.0,Starter,Portugal,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
19,Sergio Akieme,"€ 3,269","€ 170,000",,"Jul 7, 2021","Jun 30, 2026",4.0,"€ 680,000",,D,LB,25.0,Starter,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
20,Gui Guedes,"€ 3,077","€ 160,000",,"Jul 1, 2022","Jun 30, 2028",6.0,"€ 960,000",,M,CM,20.0,Reserve,Portugal,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
21,Diego Fuoli,"€ 3,077","€ 160,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 160,000",,K,GK,25.0,Reserve,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
22,Marko Milovanovic,"€ 3,077","€ 160,000",,"Jul 11, 2022","Jun 30, 2028",6.0,"€ 960,000",,F,CF,19.0,Reserve,Serbia,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
23,Srdjan Babic,"€ 2,981","€ 155,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 620,000",,D,CB,26.0,Starter,Serbia,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
24,Arnau Puigmal,"€ 2,981","€ 155,000",,"Jul 9, 2021","Jun 30, 2026",4.0,"€ 620,000",,M,CM,22.0,Reserve,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
25,Largie Ramazani,"€ 2,981","€ 155,000",,"Aug 24, 2020","Jun 30, 2025",3.0,"€ 465,000",,F,LW,21.0,Reserve,Belgium,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
26,Diego Mariño,€ 0,€ 0,,"Jan 26, 2023","Jun 30, 2024",2.0,€ 0,,K,GK,32.0,Reserve,Spain,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
27,Martin Svidersky,€ 0,€ 0,,,"Jun 30, 2027",5.0,€ 0,,M,DM,20.0,Reserve,Slovakia,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
28,Total,"€ 267,212","€ 13,895,000",€ 0,,,,"€ 46,645,000","€ 40,000,000",,,,,,,,Almeria,La Liga,2022-2023,,,,,,,,,,,,,
29,Raúl García,"€ 160,000","€ 8,320,000",,"May 9, 2022","Jun 30, 2023",1.0,"€ 8,320,000",,F,,36.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,CF,,,,,,,,,,,,
30,Ander Herrera,"€ 115,385","€ 6,000,000",,"Feb 1, 2023","Jun 30, 2023",1.0,"€ 6,000,000",,M,,33.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,CM,,,,,,,,,,,,
31,Iñaki Williams,"€ 114,808","€ 5,970,000",,"Aug 12, 2019","Jun 30, 2028",6.0,"€ 35,820,000",,F,,28.0,Starter,Ghana,,,Athletic Club,La Liga,2022-2023,CF,,,,,,,,,,,,
32,Iñigo Martínez,"€ 96,154","€ 5,000,000",,"Jan 30, 2018","Jun 30, 2023",1.0,"€ 5,000,000",,D,,31.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,CB,,,,,,,,,,,,
33,Iker Muniain,"€ 84,615","€ 4,400,000",,"Nov 21, 2018","Jun 30, 2024",2.0,"€ 8,800,000",,F,,30.0,Starter,Spain,,,Athletic Club,La Liga,2022-2023,AM,,,,,,,,,,,,
34,Unai Simón,"€ 83,654","€ 4,350,000",,"Aug 20, 2020","Jun 30, 2025",3.0,"€ 13,050,000",,K,,25.0,Starter,Spain,,,Athletic Club,La Liga,2022-2023,GK,,,,,,,,,,,,
35,Yuri Berchiche,"€ 80,769","€ 4,200,000",,"Oct 5, 2021","Jun 30, 2024",2.0,"€ 8,400,000",,D,,32.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,LB,,,,,,,,,,,,
36,Álex Berenguer,"€ 54,808","€ 2,850,000",,"Oct 2, 2020","Jun 30, 2024",2.0,"€ 5,700,000",,F,,27.0,Starter,Spain,,,Athletic Club,La Liga,2022-2023,LW,,,,,,,,,,,,
37,Dani García,"€ 53,269","€ 2,770,000",,"Feb 16, 2022","Jun 30, 2024",2.0,"€ 5,540,000",,M,,32.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,CM,,,,,,,,,,,,
38,Yeray Álvarez,"€ 49,231","€ 2,560,000",,"Jul 18, 2019","Jun 30, 2026",4.0,"€ 10,240,000",,D,,28.0,Starter,Spain,,,Athletic Club,La Liga,2022-2023,CB,,,,,,,,,,,,
39,Ander Capa,"€ 48,077","€ 2,500,000",,"Jul 12, 2022","Jun 30, 2024",2.0,"€ 5,000,000",,D,,30.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,RB,,,,,,,,,,,,
40,Nico Williams,"€ 45,192","€ 2,350,000",,"Jan 21, 2022","Jun 30, 2024",2.0,"€ 4,700,000","€ 50,000,000",F,,20.0,Starter,Spain,,,Athletic Club,La Liga,2022-2023,RW,,,,,,,,,,,,
41,Jon Morcillo,"€ 38,462","€ 2,000,000","€ 500,000","Sep 19, 2022","Jun 30, 2024",2.0,"€ 4,000,000",,F,,24.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,LW,,,,,,,,,,,,
42,Óscar de Marcos,"€ 35,577","€ 1,850,000",,"Apr 26, 2022","Jun 30, 2023",1.0,"€ 1,850,000",,D,,33.0,Starter,Spain,,,Athletic Club,La Liga,2022-2023,RB,,,,,,,,,,,,
43,Mikel Balenziaga,"€ 31,731","€ 1,650,000",,"Mar 15, 2022","Jun 30, 2023",1.0,"€ 1,650,000",,D,,34.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,LB,,,,,,,,,,,,
44,Iñigo Lekue,"€ 29,808","€ 1,550,000",,"Jan 16, 2018","Jun 30, 2023",1.0,"€ 1,550,000",,D,,29.0,Starter,Spain,,,Athletic Club,La Liga,2022-2023,RB,,,,,,,,,,,,
45,Oier Zarraga,"€ 28,846","€ 1,500,000",,"Feb 1, 2021","Jun 30, 2023",1.0,"€ 1,500,000",,M,,24.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,CM,,,,,,,,,,,,
46,Oihan Sancet,"€ 26,923","€ 1,400,000",,"Aug 4, 2020","Jun 30, 2024",2.0,"€ 2,800,000",,F,,22.0,Starter,Spain,,,Athletic Club,La Liga,2022-2023,AM,,,,,,,,,,,,
47,Dani Vivian,"€ 22,692","€ 1,180,000",,"Feb 4, 2022","Jun 30, 2026",4.0,"€ 4,720,000",,D,,23.0,Starter,Spain,,,Athletic Club,La Liga,2022-2023,CB,,,,,,,,,,,,
48,Mikel Vesga,"€ 11,538","€ 600,000",,"Jan 7, 2021","Jun 30, 2024",2.0,"€ 1,200,000",,M,,29.0,Starter,Spain,,,Athletic Club,La Liga,2022-2023,DM,,,,,,,,,,,,
49,Julen Agirrezabala,"€ 11,154","€ 580,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 1,740,000",,K,,22.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,GK,,,,,,,,,,,,
50,Gorka Guruzeta,"€ 5,769","€ 300,000",,"Jul 3, 2022","Jun 30, 2024",2.0,"€ 600,000",,F,,26.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,CF,,,,,,,,,,,,
51,Unai Vencedor,"€ 4,615","€ 240,000",,"May 13, 2022","Jun 30, 2027",5.0,"€ 1,200,000",,M,,22.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,CM,,,,,,,,,,,,
52,Aitor Paredes,"€ 3,462","€ 180,000",,"Aug 1, 2020","Jun 30, 2025",3.0,"€ 540,000",,D,,22.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,CB,,,,,,,,,,,,
53,Ander Iru,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2023",1.0,€ 0,,K,,24.0,Reserve,Spain,,,Athletic Club,La Liga,2022-2023,GK,,,,,,,,,,,,
54,Total,"€ 1,236,539","€ 64,300,000","€ 500,000",,,,"€ 139,920,000","€ 50,000,000",,,,,,,,Athletic Club,La Liga,2022-2023,,,,,,,,,,,,,
55,Jan Oblak,"€ 400,577","€ 20,830,000",,"Jul 20, 2022","Jun 30, 2028",6.0,"€ 124,980,000",,K,,30.0,Starter,Slovenia,,,Atletico Madrid,La Liga,2022-2023,,GK,,,,,,,,,,,
56,Koke,"€ 307,692","€ 16,000,000",,"May 23, 2017","Jun 30, 2024",2.0,"€ 32,000,000",,M,,31.0,Starter,Spain,,,Atletico Madrid,La Liga,2022-2023,,CM,,,,,,,,,,,
57,Antoine Griezmann,"€ 240,385","€ 12,500,000",,"Aug 31, 2021","Jun 30, 2023",1.0,"€ 12,500,000",,F,,31.0,Starter,France,,,Atletico Madrid,La Liga,2022-2023,,SS,,,,,,,,,,,
58,Saúl Ñíguez,"€ 230,769","€ 12,000,000",,"Jul 1, 2017","Jun 30, 2026",4.0,"€ 48,000,000",,M,,28.0,Reserve,Spain,,,Atletico Madrid,La Liga,2022-2023,,CM,,,,,,,,,,,
59,Álvaro Morata,"€ 188,462","€ 9,800,000",,"Sep 21, 2020","Jun 30, 2024",2.0,"€ 19,600,000",,F,,30.0,Starter,Spain,,,Atletico Madrid,La Liga,2022-2023,,CF,,,,,,,,,,,
60,Memphis Depay,"€ 168,269","€ 8,750,000",,"Jan 20, 2023","Jun 30, 2025",3.0,"€ 26,250,000",,F,,28.0,Reserve,Netherlands,,,Atletico Madrid,La Liga,2022-2023,,CF,,,,,,,,,,,
61,Axel Witsel,"€ 160,192","€ 8,330,000",,"Feb 22, 2023","Jun 30, 2024",2.0,"€ 16,660,000",,M,,34.0,Reserve,Belgium,,,Atletico Madrid,La Liga,2022-2023,,DM,,,,,,,,,,,
62,Yannick Carrasco,"€ 145,385","€ 7,560,000",,"Sep 8, 2020","Jun 30, 2024",2.0,"€ 15,120,000","€ 60,000,000",F,,29.0,Reserve,Belgium,,,Atletico Madrid,La Liga,2022-2023,,LW,,,,,,,,,,,
63,Geoffrey Kondogbia,"€ 132,692","€ 6,900,000",,"Nov 3, 2020","Jun 30, 2024",2.0,"€ 13,800,000",,M,,29.0,Reserve,Central African Republic,,,Atletico Madrid,La Liga,2022-2023,,DM,,,,,,,,,,,
64,Rodrigo de Paul,"€ 128,269","€ 6,670,000",,"Jul 12, 2021","Jun 30, 2026",4.0,"€ 26,680,000",,M,,28.0,Starter,Argentina,,,Atletico Madrid,La Liga,2022-2023,,CM,,,,,,,,,,,
65,Stefan Savic,"€ 86,538","€ 4,500,000",,"Aug 11, 2021","Jun 30, 2024",2.0,"€ 9,000,000",,D,,32.0,Starter,Montenegro,,,Atletico Madrid,La Liga,2022-2023,,CB,,,,,,,,,,,
66,José Giménez,"€ 76,923","€ 4,000,000",,"Aug 12, 2021","Jun 30, 2025",3.0,"€ 12,000,000",,D,,28.0,Reserve,Uruguay,,,Atletico Madrid,La Liga,2022-2023,,CB,,,,,,,,,,,
67,Ángel Correa,"€ 67,308","€ 3,500,000",,"Jan 4, 2022","Jun 30, 2026",4.0,"€ 14,000,000",,F,,27.0,Reserve,Argentina,,,Atletico Madrid,La Liga,2022-2023,,RW,,,,,,,,,,,
68,Thomas Lemar,"€ 62,500","€ 3,250,000",,"Jul 1, 2018","Jun 30, 2023",1.0,"€ 3,250,000",,F,,27.0,Reserve,France,,,Atletico Madrid,La Liga,2022-2023,,AM,,,,,,,,,,,
69,Sergio Reguilón,"€ 61,346","€ 3,190,000",,"Aug 30, 2022","Jun 30, 2023",1.0,"€ 3,190,000",,D,,26.0,Reserve,Spain,,,Atletico Madrid,La Liga,2022-2023,,LB,,,,,,,,,,,
70,Mario Hermoso,"€ 40,385","€ 2,100,000",,"Jul 18, 2019","Jun 30, 2024",2.0,"€ 4,200,000",,D,,27.0,Starter,Spain,,,Atletico Madrid,La Liga,2022-2023,,CB,,,,,,,,,,,
71,Marcos Llorente,"€ 40,385","€ 2,100,000",,"Aug 18, 2021","Jun 30, 2027",5.0,"€ 10,500,000","€ 120,000,000",M,,28.0,Starter,Spain,,,Atletico Madrid,La Liga,2022-2023,,CM,,,,,,,,,,,
72,Nahuel Molina,"€ 23,077","€ 1,200,000",,"Jul 28, 2022","Jun 30, 2027",5.0,"€ 6,000,000",,D,,24.0,Starter,Argentina,,,Atletico Madrid,La Liga,2022-2023,,RB,,,,,,,,,,,
73,Ivo Grbic,"€ 16,538","€ 860,000",,"Aug 20, 2020","Jun 30, 2024",2.0,"€ 1,720,000",,K,,27.0,Reserve,Croatia,,,Atletico Madrid,La Liga,2022-2023,,GK,,,,,,,,,,,
74,Reinildo Mandava,"€ 15,385","€ 800,000",,"Jan 31, 2022","Jun 30, 2025",3.0,"€ 2,400,000",,D,,29.0,Starter,Mozambique,,,Atletico Madrid,La Liga,2022-2023,,LB,,,,,,,,,,,
75,Matt Doherty,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2023",1.0,€ 0,,D,,31.0,Reserve,Ireland,,,Atletico Madrid,La Liga,2022-2023,,RB,,,,,,,,,,,
76,Pablo Barrios,€ 0,€ 0,,"Jan 23, 2023","Jun 30, 2028",6.0,€ 0,,M,,19.0,Starter,Spain,,,Atletico Madrid,La Liga,2022-2023,,CM,,,,,,,,,,,
77,João Félix,€ 0,€ 0,,"Jan 11, 2023","Jun 30, 2027",5.0,€ 0,,F,,23.0,Reserve,Portugal,,,Atletico Madrid,La Liga,2022-2023,,SS,,,,,,,,,,,
78,Total,"€ 2,593,077","€ 134,840,000",€ 0,,,,"€ 401,850,000","€ 180,000,000",,,,,,,,Atletico Madrid,La Liga,2022-2023,,,,,,,,,,,,,
79,Frenkie de Jong,"€ 721,154","€ 37,500,000","€ 6,000,000","Oct 20, 2020",,,"€ 150,000,000","€ 400,000,000",M,,25.0,Starter,Netherlands,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2026",4.0,CM,,,,,,,,
80,Sergio Busquets,"€ 711,538","€ 37,000,000",,"Sep 27, 2018",,,"€ 37,000,000","€ 500,000,000",M,,34.0,Reserve,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2023",1.0,DM,,,,,,,,
81,Robert Lewandowski,"€ 400,577","€ 20,830,000",,"Jul 19, 2022",,,"€ 83,320,000","€ 500,000,000",F,,34.0,Starter,Poland,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2026",4.0,CF,,,,,,,,
82,Jordi Alba,"€ 400,577","€ 20,830,000",,"Feb 28, 2019",,,"€ 41,660,000","€ 500,000,000",D,,33.0,Starter,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2024",2.0,LB,,,,,,,,
83,Gerard Piqué,"€ 283,654","€ 14,750,000",,"Oct 20, 2020",,,"€ 29,500,000","€ 500,000,000",D,,35.0,Reserve,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2024",2.0,CB,,,,,,,,
84,Ansu Fati,"€ 268,269","€ 13,950,000",,"Oct 21, 2021",,,"€ 69,750,000","€ 1,000,000,000",F,,20.0,Reserve,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2027",5.0,LW,,,,,,,,
85,Jules Koundé,"€ 260,577","€ 13,550,000",,"Jul 28, 2022",,,"€ 67,750,000","€ 1,000,000,000",D,,24.0,Starter,France,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2027",5.0,CB,,,,,,,,
86,Raphinha,"€ 240,385","€ 12,500,000",,"Jul 13, 2022",,,"€ 62,500,000","€ 1,000,000,000",F,,26.0,Reserve,Brazil,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2027",5.0,RW,,,,,,,,
87,Ousmane Dembélé,"€ 230,769","€ 12,000,000","€ 3,000,000","Jul 14, 2022",,,"€ 24,000,000","€ 50,000,000",F,,25.0,Starter,France,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2024",2.0,RW,,,,,,,,
88,Ferran Torres,"€ 192,308","€ 10,000,000","€ 3,000,000","Jan 1, 2022",,,"€ 50,000,000","€ 1,000,000,000",F,,22.0,Reserve,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2027",5.0,LW,,,,,,,,
89,Pedri,"€ 180,385","€ 9,380,000",,"Oct 14, 2021",,,"€ 37,520,000","€ 1,000,000,000",M,,20.0,Starter,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2026",4.0,CM,,,,,,,,
90,Marc-André ter Stegen,"€ 173,077","€ 9,000,000",,"Oct 20, 2020",,,"€ 27,000,000","€ 500,000,000",K,,30.0,Starter,Germany,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2025",3.0,GK,,,,,,,,
91,Franck Kessié,"€ 173,077","€ 9,000,000","€ 4,000,000","Jul 4, 2022",,,"€ 36,000,000","€ 500,000,000",M,,26.0,Reserve,Cote d'Ivoire,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2026",4.0,CM,,,,,,,,
92,Andreas Christensen,"€ 173,077","€ 9,000,000","€ 4,000,000","Jul 4, 2022",,,"€ 36,000,000","€ 500,000,000",D,,26.0,Starter,Denmark,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2026",4.0,CB,,,,,,,,
93,Ronald Araújo,"€ 134,615","€ 7,000,000",,"Apr 29, 2022",,,"€ 28,000,000","€ 1,000,000,000",D,,23.0,Starter,Uruguay,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2026",4.0,CB,,,,,,,,
94,Gavi,"€ 130,769","€ 6,800,000",,"Sep 14, 2022",,,"€ 27,200,000","€ 1,000,000,000",M,,18.0,Starter,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2026",4.0,CM,,,,,,,,
95,Marcos Alonso,"€ 120,192","€ 6,250,000",,"Jan 27, 2023",,,"€ 12,500,000","€ 50,000,000",D,,32.0,Reserve,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2024",2.0,LB,,,,,,,,
