,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLWRBRWSS,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLWRB,Pos. CBCFCMDMGKLBRBRW,"Contract Expiration Jun 23, 2023Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027","Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2031",Years Remaining 123459,Pos. AMCBCFCMGKLBLWRBRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028Jun 30, 2029",Years Remaining 1234567
96,Eric García,"€ 115,385","€ 6,000,000",,"Jul 1, 2021",,,"€ 24,000,000","€ 400,000,000",D,,22.0,Reserve,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2026",4.0,CB,,,,,,,,
97,Sergi Roberto,"€ 96,154","€ 5,000,000",,"Mar 3, 2023",,,"€ 10,000,000","€ 400,000,000",D,,30.0,Reserve,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2024",2.0,RB,,,,,,,,
98,Iñaki Peña,"€ 38,462","€ 2,000,000",,"Jan 30, 2022",,,"€ 2,000,000","€ 60,000,000",K,,23.0,Reserve,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2023",1.0,GK,,,,,,,,
99,Martin Braithwaite,"€ 7,692","€ 400,000",,"Sep 1, 2022",,,"€ 400,000",,F,,31.0,Reserve,Denmark,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2023",1.0,CF,,,,,,,,
100,Arnau Tenas,"€ 6,923","€ 360,000",,"Jul 27, 2020",,,"€ 360,000","€ 100,000,000",K,,21.0,Reserve,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2023",1.0,GK,,,,,,,,
101,Pablo Torre,"€ 4,038","€ 210,000",,"Jul 1, 2022",,,"€ 840,000","€ 100,000,000",M,,19.0,Reserve,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2026",4.0,CM,,,,,,,,
102,Alejandro Balde,"€ 3,077","€ 160,000",,"Jul 1, 2022",,,"€ 320,000","€ 500,000,000",D,,19.0,Starter,Spain,,,Barcelona,La Liga,2022-2023,,,"Jun 30, 2024",2.0,LB,,,,,,,,
103,Total,"€ 5,066,731","€ 263,470,000","€ 20,000,000",,,,"€ 857,620,000","€ 12,560,000,000",,,,,,,,Barcelona,La Liga,2022-2023,,,,,,,,,,,,,
104,Gonzalo Escalante,"€ 56,154","€ 2,920,000",,"Jan 25, 2023","Jun 30, 2023",1.0,"€ 2,920,000",,M,,29.0,Starter,Argentina,,,Cadiz,La Liga,2022-2023,CM,,,,,,,,,,,,
105,Álvaro Negredo,"€ 24,808","€ 1,290,000",,"Mar 31, 2022","Jun 30, 2023",1.0,"€ 1,290,000",,F,,37.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,CF,,,,,,,,,,,,
106,Jeremías Ledesma,"€ 24,615","€ 1,280,000",,"Jul 1, 2021","Jun 30, 2025",3.0,"€ 3,840,000",,K,,29.0,Starter,Argentina,,,Cadiz,La Liga,2022-2023,GK,,,,,,,,,,,,
107,Jorge Meré,"€ 23,077","€ 1,200,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 1,200,000",,D,,25.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,CB,,,,,,,,,,,,
108,Théo Bongonda,"€ 23,077","€ 1,200,000",,"Aug 26, 2022","Jun 30, 2026",4.0,"€ 4,800,000",,F,,27.0,Starter,Democratic Republic of the Congo,,,Cadiz,La Liga,2022-2023,RW,,,,,,,,,,,,
109,Juan Cala,"€ 21,154","€ 1,100,000",,"Jul 17, 2019","Jun 30, 2024",2.0,"€ 2,200,000",,D,,33.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,CB,,,,,,,,,,,,
110,Roger Martí,"€ 19,615","€ 1,020,000",,"Jan 26, 2023","Jun 30, 2023",1.0,"€ 1,020,000",,F,,32.0,Starter,Spain,,,Cadiz,La Liga,2022-2023,CF,,,,,,,,,,,,
111,Luis Hernández,"€ 19,615","€ 1,020,000",,"Nov 4, 2022","Jun 30, 2025",3.0,"€ 3,060,000",,D,,33.0,Starter,Spain,,,Cadiz,La Liga,2022-2023,CB,,,,,,,,,,,,
112,Joseba Zaldua,"€ 17,308","€ 900,000",,"Jul 11, 2022","Jun 30, 2025",3.0,"€ 2,700,000",,D,,30.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,RB,,,,,,,,,,,,
113,Rubén Alcaraz,"€ 14,808","€ 770,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 1,540,000",,M,,31.0,Starter,Spain,,,Cadiz,La Liga,2022-2023,CM,,,,,,,,,,,,
114,Fede San Emeterio,"€ 13,846","€ 720,000",,"Aug 7, 2022","Jun 30, 2026",4.0,"€ 2,880,000",,M,,25.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,CM,,,,,,,,,,,,
115,Rubén Sobrino,"€ 13,462","€ 700,000",,"Aug 30, 2021","Jun 30, 2024",2.0,"€ 1,400,000",,F,,30.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,CF,,,,,,,,,,,,
116,Choco Lozano,"€ 11,923","€ 620,000",,"Aug 4, 2020","Jun 30, 2023",1.0,"€ 620,000",,F,,29.0,Reserve,Honduras,,,Cadiz,La Liga,2022-2023,CF,,,,,,,,,,,,
117,Brian Ocampo,"€ 10,385","€ 540,000",,"Aug 28, 2022","Jun 30, 2026",4.0,"€ 2,160,000","€ 15,000,000",F,,23.0,Starter,Uruguay,,,Cadiz,La Liga,2022-2023,LW,,,,,,,,,,,,
118,Fali,"€ 9,615","€ 500,000",,"Feb 10, 2020","Jun 30, 2024",2.0,"€ 1,000,000",,D,,29.0,Starter,Spain,,,Cadiz,La Liga,2022-2023,CB,,,,,,,,,,,,
119,Alfonso Espino,"€ 9,615","€ 500,000",,"Oct 31, 2020","Jun 30, 2023",1.0,"€ 500,000",,D,,31.0,Starter,Uruguay,,,Cadiz,La Liga,2022-2023,LB,,,,,,,,,,,,
120,Álex Fernández,"€ 9,423","€ 490,000",,"Jun 6, 2022","Jun 30, 2025",3.0,"€ 1,470,000",,F,,30.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,AM,,,,,,,,,,,,
121,Iza Carcelén,"€ 9,231","€ 480,000",,"Jul 1, 2019","Jun 30, 2023",1.0,"€ 480,000",,D,,29.0,Starter,Spain,,,Cadiz,La Liga,2022-2023,RB,,,,,,,,,,,,
122,Iván Alejo,"€ 9,038","€ 470,000",,"Aug 4, 2020","Jun 30, 2025",3.0,"€ 1,410,000",,F,,27.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,RW,,,,,,,,,,,,
123,José Mari,"€ 7,885","€ 410,000",,"Jan 8, 2023","Jun 30, 2025",3.0,"€ 1,230,000",,M,,35.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,DM,,,,,,,,,,,,
124,Jon Ander Garrido,"€ 7,500","€ 390,000",,"Oct 30, 2019","Jun 30, 2023",1.0,"€ 390,000",,M,,33.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,DM,,,,,,,,,,,,
125,Sergi Guardiola,"€ 7,500","€ 390,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 390,000",,F,,31.0,Starter,Spain,,,Cadiz,La Liga,2022-2023,CF,,,,,,,,,,,,
126,David Gil,"€ 6,346","€ 330,000",,"Jul 4, 2022","Jun 30, 2025",3.0,"€ 990,000",,K,,29.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,GK,,,,,,,,,,,,
127,Víctor Chust,"€ 4,615","€ 240,000",,"Jul 6, 2022","Jun 30, 2026",4.0,"€ 960,000",,D,,22.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,CB,,,,,,,,,,,,
128,Momo Mbaye,"€ 4,038","€ 210,000",,"Aug 9, 2022","Jun 30, 2024",2.0,"€ 420,000",,D,,24.0,Reserve,Senegal,,,Cadiz,La Liga,2022-2023,CB,,,,,,,,,,,,
129,Santiago Arzamendia,"€ 3,846","€ 200,000",,"Jul 8, 2021","Jun 30, 2025",3.0,"€ 600,000",,D,,24.0,Reserve,Paraguay,,,Cadiz,La Liga,2022-2023,LB,,,,,,,,,,,,
130,Raúl Parra,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2024",2.0,€ 0,,D,,23.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,RB,,,,,,,,,,,,
131,Chris Ramos,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2028",6.0,€ 0,,F,,26.0,Reserve,Spain,,,Cadiz,La Liga,2022-2023,CF,,,,,,,,,,,,
132,Youba Diarra,€ 0,€ 0,,"Jan 1, 2023","Jun 30, 2027",5.0,€ 0,,M,,24.0,Reserve,Mali,,,Cadiz,La Liga,2022-2023,CM,,,,,,,,,,,,
133,Total,"€ 382,499","€ 19,890,000",€ 0,,,,"€ 41,470,000","€ 15,000,000",,,,,,,,Cadiz,La Liga,2022-2023,,,,,,,,,,,,,
134,Carles Pérez,"€ 80,192","€ 4,170,000",,"Aug 9, 2022","Jun 30, 2023",1.0,"€ 4,170,000",,F,,24.0,Starter,Spain,,,Celta Vigo,La Liga,2022-2023,RW,,,,,,,,,,,,
135,Iago Aspas,"€ 50,000","€ 2,600,000",,"Jul 25, 2022","Jun 30, 2025",3.0,"€ 7,800,000",,F,,35.0,Starter,Spain,,,Celta Vigo,La Liga,2022-2023,CF,,,,,,,,,,,,
136,Hugo Mallo,"€ 49,808","€ 2,590,000",,"Aug 10, 2018","Jun 30, 2023",1.0,"€ 2,590,000",,D,,31.0,Reserve,Spain,,,Celta Vigo,La Liga,2022-2023,RB,,,,,,,,,,,,
137,Franco Cervi,"€ 48,077","€ 2,500,000",,"Jul 5, 2021","Jun 30, 2024",2.0,"€ 5,000,000",,F,,28.0,Reserve,Argentina,,,Celta Vigo,La Liga,2022-2023,LW,,,,,,,,,,,,
138,Unai Núñez,"€ 43,077","€ 2,240,000",,"Jul 20, 2022","Jun 30, 2023",1.0,"€ 2,240,000",,D,,26.0,Reserve,Spain,,,Celta Vigo,La Liga,2022-2023,CB,,,,,,,,,,,,
139,Joseph Aidoo,"€ 37,500","€ 1,950,000",,"Feb 7, 2022","Jun 30, 2026",4.0,"€ 7,800,000",,D,,27.0,Starter,Ghana,,,Celta Vigo,La Liga,2022-2023,CB,,,,,,,,,,,,
140,Javi Galán,"€ 28,846","€ 1,500,000",,"Jul 31, 2021","Jun 30, 2026",4.0,"€ 6,000,000","€ 18,000,000",D,,28.0,Starter,Spain,,,Celta Vigo,La Liga,2022-2023,LB,,,,,,,,,,,,
141,Augusto Solari,"€ 25,962","€ 1,350,000",,"Jan 23, 2021","Jun 30, 2023",1.0,"€ 1,350,000",,F,,31.0,Reserve,Argentina,,,Celta Vigo,La Liga,2022-2023,RW,,,,,,,,,,,,
142,Agustín Marchesín,"€ 24,231","€ 1,260,000",,"Aug 1, 2022","Jun 30, 2025",3.0,"€ 3,780,000",,K,,34.0,Reserve,Argentina,,,Celta Vigo,La Liga,2022-2023,GK,,,,,,,,,,,,
143,Óscar Rodríguez,"€ 22,115","€ 1,150,000",,"Jul 8, 2022","Jun 30, 2023",1.0,"€ 1,150,000",,F,,24.0,Reserve,Spain,,,Celta Vigo,La Liga,2022-2023,AM,,,,,,,,,,,,
144,Óscar Mingueza,"€ 21,923","€ 1,140,000",,"Jul 30, 2022","Jun 30, 2026",4.0,"€ 4,560,000",,D,,23.0,Starter,Spain,,,Celta Vigo,La Liga,2022-2023,CB,,,,,,,,,,,,
145,Iván Villar,"€ 19,038","€ 990,000",,"Jul 1, 2019","Jun 30, 2023",1.0,"€ 990,000",,K,,25.0,Starter,Spain,,,Celta Vigo,La Liga,2022-2023,GK,,,,,,,,,,,,
146,Kevin Vázquez,"€ 18,462","€ 960,000",,"Jul 1, 2018","Jun 30, 2023",1.0,"€ 960,000",,D,,29.0,Reserve,Spain,,,Celta Vigo,La Liga,2022-2023,RB,,,,,,,,,,,,
147,Fran Beltrán,"€ 17,308","€ 900,000",,"Jan 13, 2022","Jun 30, 2026",4.0,"€ 3,600,000",,M,,23.0,Starter,Spain,,,Celta Vigo,La Liga,2022-2023,CM,,,,,,,,,,,,
148,Gonçalo Paciência,"€ 15,000","€ 780,000",,"Aug 6, 2022","Jun 30, 2025",3.0,"€ 2,340,000",,F,,28.0,Reserve,Portugal,,,Celta Vigo,La Liga,2022-2023,CF,,,,,,,,,,,,
149,Jörgen Strand Larsen,"€ 8,654","€ 450,000",,"Sep 1, 2022","Jun 30, 2028",6.0,"€ 2,700,000",,F,,22.0,Starter,Norway,,,Celta Vigo,La Liga,2022-2023,CF,,,,,,,,,,,,
150,Carlos Domínguez,"€ 5,769","€ 300,000",,"Jan 11, 2022","Jun 30, 2026",4.0,"€ 1,200,000",,D,,21.0,Reserve,Spain,,,Celta Vigo,La Liga,2022-2023,CB,,,,,,,,,,,,
151,Luca de la Torre,"€ 5,192","€ 270,000",,"Jul 8, 2022","Jun 30, 2026",4.0,"€ 1,080,000",,M,,24.0,Starter,United States,,,Celta Vigo,La Liga,2022-2023,CM,,,,,,,,,,,,
152,Renato Tapia,"€ 5,000","€ 260,000",,"Aug 4, 2020","Jun 30, 2024",2.0,"€ 520,000",,M,,27.0,Starter,Peru,,,Celta Vigo,La Liga,2022-2023,DM,,,,,,,,,,,,
153,Williot Swedberg,"€ 4,615","€ 240,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 1,200,000",,F,,19.0,Reserve,Sweden,,,Celta Vigo,La Liga,2022-2023,AM,,,,,,,,,,,,
154,Gabri Veiga,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2026",4.0,€ 0,"€ 40,000,000",F,,20.0,Starter,Spain,,,Celta Vigo,La Liga,2022-2023,AM,,,,,,,,,,,,
155,Haris Seferovic,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2023",1.0,€ 0,,F,,30.0,Reserve,Switzerland,,,Celta Vigo,La Liga,2022-2023,CF,,,,,,,,,,,,
156,Total,"€ 530,769","€ 27,600,000",€ 0,,,,"€ 61,030,000","€ 58,000,000",,,,,,,,Celta Vigo,La Liga,2022-2023,,,,,,,,,,,,,
157,Álex Collado,"€ 57,692","€ 3,000,000",,"Aug 15, 2022",,,"€ 3,000,000",,F,,23.0,Reserve,Spain,,,Elche,La Liga,2022-2023,RW,,"Jun 30, 2023",1.0,,,,,,,,,
158,Ezequiel Ponce,"€ 34,615","€ 1,800,000",,"Jul 1, 2022",,,"€ 7,200,000",,F,,25.0,Starter,Argentina,,,Elche,La Liga,2022-2023,CF,,"Jun 30, 2026",4.0,,,,,,,,,
159,Carlos Clerc,"€ 20,769","€ 1,080,000",,"Jul 21, 2022",,,"€ 2,160,000",,D,,30.0,Starter,Spain,,,Elche,La Liga,2022-2023,LB,,"Jun 30, 2024",2.0,,,,,,,,,
160,Pol Lirola,"€ 19,231","€ 1,000,000",,"Aug 12, 2022",,,"€ 1,000,000",,D,,25.0,Reserve,Spain,,,Elche,La Liga,2022-2023,RB,,"Jun 30, 2023",1.0,,,,,,,,,
161,Omar Mascarell,"€ 15,769","€ 820,000",,"Jul 8, 2022",,,"€ 2,460,000",,M,,29.0,Starter,Spain,,,Elche,La Liga,2022-2023,DM,,"Jun 30, 2025",3.0,,,,,,,,,
162,Édgar Badía,"€ 12,500","€ 650,000",,"Aug 10, 2022",,,"€ 1,950,000",,K,,30.0,Starter,Spain,,,Elche,La Liga,2022-2023,GK,,"Jun 30, 2025",3.0,,,,,,,,,
163,Fidel,"€ 11,923","€ 620,000",,"Oct 21, 2021",,,"€ 1,240,000",,F,,33.0,Reserve,Spain,,,Elche,La Liga,2022-2023,LW,,"Jun 30, 2024",2.0,,,,,,,,,
164,José Ángel Carmona,"€ 10,385","€ 540,000",,"Jan 11, 2023",,,"€ 540,000",,D,,21.0,Starter,Spain,,,Elche,La Liga,2022-2023,RB,,"Jun 30, 2023",1.0,,,,,,,,,
165,Raúl Guti,"€ 9,038","€ 470,000",,"Sep 20, 2020",,,"€ 1,410,000",,M,,26.0,Reserve,Spain,,,Elche,La Liga,2022-2023,CM,,"Jun 30, 2025",3.0,,,,,,,,,
166,Pere Milla,"€ 6,538","€ 340,000",,"Jul 2, 2022",,,"€ 1,020,000",,F,,30.0,Starter,Spain,,,Elche,La Liga,2022-2023,LW,,"Jun 30, 2025",3.0,,,,,,,,,
167,Lucas Boyé,"€ 6,154","€ 320,000",,"Jul 1, 2021",,,"€ 640,000",,F,,26.0,Starter,Argentina,,,Elche,La Liga,2022-2023,CF,,"Jun 30, 2024",2.0,,,,,,,,,
168,Tete Morente,"€ 5,577","€ 290,000",,"Sep 16, 2020",,,"€ 580,000",,F,,26.0,Reserve,Spain,,,Elche,La Liga,2022-2023,LW,,"Jun 30, 2024",2.0,,,,,,,,,
169,Nicolás Fernández Mercau,"€ 4,615","€ 240,000",,"Sep 1, 2022",,,"€ 1,200,000",,D,,23.0,Reserve,Argentina,,,Elche,La Liga,2022-2023,LB,,"Jun 30, 2027",5.0,,,,,,,,,
170,Randy Nteka,"€ 4,423","€ 230,000",,"Jan 31, 2023",,,"€ 230,000",,F,,25.0,Reserve,France,,,Elche,La Liga,2022-2023,AM,,"Jun 30, 2023",1.0,,,,,,,,,
171,Axel Werner,"€ 4,038","€ 210,000",,"Sep 1, 2021",,,"€ 210,000",,K,,26.0,Reserve,Argentina,,,Elche,La Liga,2022-2023,GK,,"Jun 30, 2023",1.0,,,,,,,,,
172,Pedro Bigas,"€ 4,038","€ 210,000",,"Jul 7, 2021",,,"€ 210,000",,D,,32.0,Reserve,Spain,,,Elche,La Liga,2022-2023,CB,,"Jun 30, 2023",1.0,,,,,,,,,
173,Gerard Gumbau,"€ 4,038","€ 210,000",,"Aug 31, 2021",,,"€ 210,000",,M,,28.0,Starter,Spain,,,Elche,La Liga,2022-2023,DM,,"Jun 30, 2023",1.0,,,,,,,,,
174,John Nwankwo,"€ 3,077","€ 160,000",,"Jul 1, 2022",,,"€ 480,000",,D,,22.0,Reserve,Spain,,,Elche,La Liga,2022-2023,CB,,"Jun 30, 2025",3.0,,,,,,,,,
175,Gonzalo Verdú,"€ 2,981","€ 155,000",,"Aug 5, 2021",,,"€ 155,000",,D,,34.0,Reserve,Spain,,,Elche,La Liga,2022-2023,CB,,"Jun 30, 2023",1.0,,,,,,,,,
176,Helibelton Palacios,"€ 2,981","€ 155,000",,"Feb 4, 2021",,,"€ 155,000",,D,,29.0,Starter,Colombia,,,Elche,La Liga,2022-2023,RB,,"Jun 30, 2023",1.0,,,,,,,,,
177,Josan,"€ 2,981","€ 155,000",,"Mar 29, 2022",,,"€ 155,000",,F,,33.0,Reserve,Spain,,,Elche,La Liga,2022-2023,RW,,"Jun 30, 2023",1.0,,,,,,,,,
178,Enzo Roco,"€ 2,981","€ 155,000",,"Jul 9, 2021",,,"€ 155,000",,D,,30.0,Starter,Chile,,,Elche,La Liga,2022-2023,CB,,"Jun 30, 2023",1.0,,,,,,,,,
179,Diego González,"€ 2,981","€ 155,000",,"Jun 14, 2022",,,"€ 310,000",,D,,28.0,Reserve,Spain,,,Elche,La Liga,2022-2023,CB,,"Jun 30, 2024",2.0,,,,,,,,,
180,Lautaro Blanco,€ 0,€ 0,,"Aug 5, 2022",,,€ 0,,D,,23.0,Reserve,Argentina,,,Elche,La Liga,2022-2023,LB,,"Jun 30, 2027",5.0,,,,,,,,,
181,Lisandro Magallán,€ 0,€ 0,,"Jan 5, 2023",,,€ 0,,D,,29.0,Starter,Argentina,,,Elche,La Liga,2022-2023,CB,,"Jun 30, 2023",1.0,,,,,,,,,
182,Total,"€ 249,325","€ 12,965,000",€ 0,,,,"€ 26,670,000",€ 0,,,,,,,,Elche,La Liga,2022-2023,,,,,,,,,,,,,
183,Denis Suárez,"€ 90,000","€ 4,680,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 4,680,000",,F,,29.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,AM,,,,,,,
184,Martin Braithwaite,"€ 51,923","€ 2,700,000",,"Sep 1, 2022","Jun 30, 2025",3.0,"€ 8,100,000",,F,,31.0,Starter,Denmark,,,Espanyol,La Liga,2022-2023,,,,,,CF,,,,,,,
185,Sergi Darder,"€ 44,038","€ 2,290,000",,"Aug 25, 2022","Jun 30, 2026",4.0,"€ 9,160,000",,M,,29.0,Starter,Spain,,,Espanyol,La Liga,2022-2023,,,,,,CM,,,,,,,
186,Leandro Cabrera,"€ 28,462","€ 1,480,000",,"Jan 20, 2020","Jun 30, 2024",2.0,"€ 2,960,000",,D,,31.0,Starter,Uruguay,,,Espanyol,La Liga,2022-2023,,,,,,CB,,,,,,,
187,Joselu,"€ 23,077","€ 1,200,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 3,600,000",,F,,32.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,CF,,,,,,,
188,Fernando Calero,"€ 19,038","€ 990,000",,"Aug 9, 2019","Jun 30, 2024",2.0,"€ 1,980,000",,D,,27.0,Starter,Spain,,,Espanyol,La Liga,2022-2023,,,,,,CB,,,,,,,
189,Adrià Pedrosa,"€ 18,462","€ 960,000",,"May 22, 2019","Jun 30, 2023",1.0,"€ 960,000",,D,,24.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,LB,,,,,,,
190,Edu Expósito,"€ 13,846","€ 720,000",,"Aug 8, 2022","Jun 30, 2027",5.0,"€ 3,600,000",,M,,26.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,CM,,,,,,,
191,Keidi Bare,"€ 13,462","€ 700,000",,"Sep 22, 2020","Jun 30, 2024",2.0,"€ 1,400,000",,M,,25.0,Reserve,Albania,,,Espanyol,La Liga,2022-2023,,,,,,CM,,,,,,,
192,Sergi Gómez,"€ 12,500","€ 650,000",,"Jul 28, 2021","Jun 30, 2024",2.0,"€ 1,300,000",,D,,30.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,CB,,,,,,,
193,Dani Gómez,"€ 12,500","€ 650,000",,"Aug 22, 2022","Jun 30, 2023",1.0,"€ 650,000",,F,,24.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,CF,,,,,,,
194,Brian Oliván,"€ 10,385","€ 540,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 1,620,000",,D,,28.0,Starter,Spain,,,Espanyol,La Liga,2022-2023,,,,,,LB,,,,,,,
195,Óscar Gil,"€ 10,000","€ 520,000",,"Sep 7, 2020","Jun 30, 2024",2.0,"€ 1,040,000",,D,,24.0,Starter,Spain,,,Espanyol,La Liga,2022-2023,,,,,,RB,,,,,,,
196,Javi Puado,"€ 9,615","€ 500,000",,"Jul 11, 2021","Jun 30, 2025",3.0,"€ 1,500,000",,F,,24.0,Starter,Spain,,,Espanyol,La Liga,2022-2023,,,,,,LW,,,,,,,
197,José Gragera,"€ 9,231","€ 480,000",,"Jan 31, 2023","Jun 30, 2028",6.0,"€ 2,880,000",,M,,22.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,CM,,,,,,,
198,Nico Melamed,"€ 8,846","€ 460,000",,"Oct 8, 2020","Jun 30, 2024",2.0,"€ 920,000",,F,,21.0,Starter,Spain,,,Espanyol,La Liga,2022-2023,,,,,,LW,,,,,,,
199,José Carlos Lazo,"€ 8,077","€ 420,000",,"Aug 24, 2022","Jun 30, 2027",5.0,"€ 2,100,000",,F,,26.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,LW,,,,,,,
200,Vinicius Souza,"€ 8,077","€ 420,000",,"Jul 8, 2022","Jun 30, 2023",1.0,"€ 420,000",,M,,23.0,Starter,Brazil,,,Espanyol,La Liga,2022-2023,,,,,,DM,,,,,,,
201,Álvaro Fernández,"€ 7,500","€ 390,000",,"Aug 31, 2022","Jun 30, 2023",1.0,"€ 390,000",,K,,24.0,Starter,Spain,,,Espanyol,La Liga,2022-2023,,,,,,GK,,,,,,,
202,Aleix Vidal,"€ 4,231","€ 220,000",,"Aug 18, 2021","Jun 30, 2023",1.0,"€ 220,000",,D,,33.0,Starter,Spain,,,Espanyol,La Liga,2022-2023,,,,,,RB,,,,,,,
