,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLWRBRWSS,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLWRB,Pos. CBCFCMDMGKLBRBRW,"Contract Expiration Jun 23, 2023Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027","Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2031",Years Remaining 123459,Pos. AMCBCFCMGKLBLWRBRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028Jun 30, 2029",Years Remaining 1234567
203,Joan García,"€ 3,846","€ 200,000",,"Jul 1, 2021","Jun 30, 2025",3.0,"€ 600,000",,K,,21.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,GK,,,,,,,
204,Ronaël Pierre-Gabriel,€ 0,€ 0,,"Jan 18, 2023","Jun 30, 2023",1.0,€ 0,,D,,24.0,Reserve,France,,,Espanyol,La Liga,2022-2023,,,,,,RB,,,,,,,
205,Rubén Sánchez,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2024",2.0,€ 0,,D,,21.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,RB,,,,,,,
206,Simo Keddari,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2026",4.0,€ 0,,D,,17.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,CB,,,,,,,
207,Fernando Pacheco,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2026",4.0,€ 0,,K,,30.0,Reserve,Spain,,,Espanyol,La Liga,2022-2023,,,,,,GK,,,,,,,
208,Omar El Hilali,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2023",1.0,€ 0,,D,,19.0,Reserve,Morocco,,,Espanyol,La Liga,2022-2023,,,,,,RB,,,,,,,
209,César Montes,€ 0,€ 0,,"Jan 1, 2023","Jun 30, 2028",6.0,€ 0,,D,,25.0,Reserve,Mexico,,,Espanyol,La Liga,2022-2023,,,,,,CB,,,,,,,
210,Total,"€ 407,116","€ 21,170,000",€ 0,,,,"€ 50,080,000",€ 0,,,,,,,,Espanyol,La Liga,2022-2023,,,,,,,,,,,,,
211,Munir El Haddadi,"€ 100,962","€ 5,250,000",,"Aug 31, 2022",,,"€ 5,250,000",,F,,27.0,Reserve,Morocco,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,CF,,,,,,
212,Borja Mayoral,"€ 92,115","€ 4,790,000",,"Aug 1, 2022",,,"€ 23,950,000","€ 20,000,000",F,,25.0,Starter,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2027",5.0,,,CF,,,,,,
213,Gonzalo Villar,"€ 48,077","€ 2,500,000",,"Jan 13, 2023",,,"€ 2,500,000",,M,,24.0,Starter,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,CM,,,,,,
214,Kiko Casilla,"€ 46,154","€ 2,400,000",,"Aug 10, 2022",,,"€ 2,400,000",,K,,36.0,Reserve,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,GK,,,,,,
215,Djené,"€ 42,308","€ 2,200,000",,"Jul 24, 2017",,,"€ 2,200,000",,D,,31.0,Reserve,Togo,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,CB,,,,,,
216,Jaime Mata,"€ 41,154","€ 2,140,000",,"Jan 6, 2021",,,"€ 4,280,000",,F,,34.0,Reserve,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2024",2.0,,,CF,,,,,,
217,Portu,"€ 40,577","€ 2,110,000",,"Jul 1, 2022",,,"€ 2,110,000",,F,,30.0,Reserve,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,RW,,,,,,
218,Nemanja Maksimović,"€ 40,000","€ 2,080,000",,"Jul 16, 2018",,,"€ 4,160,000",,M,,28.0,Reserve,Serbia,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2024",2.0,,,CM,,,,,,
219,Gastón Álvarez,"€ 34,615","€ 1,800,000",,"Jan 28, 2022",,,"€ 1,800,000",,D,,22.0,Starter,Uruguay,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,CB,,,,,,
220,Mauro Arambarri,"€ 29,423","€ 1,530,000",,"Feb 6, 2023",,,"€ 1,530,000",,M,,27.0,Starter,Uruguay,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,CM,,,,,,
221,David Soria,"€ 29,038","€ 1,510,000",,"May 25, 2021",,,"€ 1,510,000",,K,,29.0,Starter,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,GK,,,,,,
222,Omar Alderete,"€ 23,077","€ 1,200,000",,"Aug 19, 2022",,,"€ 1,200,000",,D,,26.0,Starter,Paraguay,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,CB,,,,,,
223,Domingos Duarte,"€ 20,769","€ 1,080,000",,"Jul 11, 2022",,,"€ 4,320,000",,D,,27.0,Starter,Portugal,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2026",4.0,,,CB,,,,,,
224,Jordan Amavi,"€ 19,615","€ 1,020,000",,"Sep 1, 2022",,,"€ 1,020,000",,D,,28.0,Reserve,France,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,LB,,,,,,
225,Enes Ünal,"€ 16,538","€ 860,000",,"Aug 12, 2020",,,"€ 2,580,000",,F,,25.0,Starter,Turkey,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2025",3.0,,,CF,,,,,,
226,Luis Milla,"€ 15,000","€ 780,000",,"Jul 25, 2022",,,"€ 3,900,000",,M,,28.0,Starter,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2027",5.0,,,CM,,,,,,
227,Carles Aleñá,"€ 12,115","€ 630,000",,"Jul 10, 2021",,,"€ 2,520,000",,M,,25.0,Starter,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2026",4.0,,,CM,,,,,,
228,Damián Suárez,"€ 11,923","€ 620,000",,"May 20, 2022",,,"€ 620,000",,D,,34.0,Reserve,Uruguay,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,RB,,,,,,
229,Fabrizio Angileri,"€ 11,538","€ 600,000",,"Jul 14, 2022",,,"€ 2,400,000",,D,,28.0,Reserve,Argentina,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2026",4.0,,,LB,,,,,,
230,Jaime Seoane,"€ 10,385","€ 540,000",,"Jul 1, 2022",,,"€ 1,620,000",,M,,26.0,Starter,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2025",3.0,,,CM,,,,,,
231,Stefan Mitrović,"€ 4,808","€ 250,000",,"Jul 6, 2021",,,"€ 500,000",,D,,32.0,Reserve,Serbia,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2024",2.0,,,CB,,,,,,
232,Juanmi Latasa,"€ 4,038","€ 210,000",,"Aug 26, 2022",,,"€ 210,000",,F,,21.0,Reserve,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,CF,,,,,,
233,Juan Iglesias,"€ 3,462","€ 180,000",,"Aug 19, 2021",,,"€ 720,000",,D,,24.0,Reserve,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2026",4.0,,,RB,,,,,,
234,Ángel Algobia,"€ 3,462","€ 180,000",,"Aug 11, 2022",,,"€ 180,000",,M,,23.0,Reserve,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2023",1.0,,,DM,,,,,,
235,Diego Conde,"€ 2,981","€ 155,000",,"Jul 28, 2021",,,"€ 310,000",,K,,24.0,Reserve,Spain,,,Getafe,La Liga,2022-2023,,,"Jun 30, 2024",2.0,,,GK,,,,,,
236,Total,"€ 704,134","€ 36,615,000",€ 0,,,,"€ 73,790,000","€ 20,000,000",,,,,,,,Getafe,La Liga,2022-2023,,,,,,,,,,,,,
237,David López,"€ 69,231","€ 3,600,000",,"Jul 25, 2022",,,"€ 3,600,000",,D,,33.0,Reserve,Spain,,,Girona,La Liga,2022-2023,CB,,"Jun 30, 2023",1.0,,,,,,,,,
238,Oriol Romeu,"€ 57,692","€ 3,000,000",,"Sep 1, 2022",,,"€ 9,000,000",,M,,31.0,Starter,Spain,,,Girona,La Liga,2022-2023,DM,,"Jun 30, 2025",3.0,,,,,,,,,
239,Yangel Herrera,"€ 20,769","€ 1,080,000",,"Aug 2, 2022",,,"€ 1,080,000",,M,,25.0,Reserve,Venezuela,,,Girona,La Liga,2022-2023,CM,,"Jun 30, 2023",1.0,,,,,,,,,
240,Iván Martín,"€ 20,000","€ 1,040,000",,"Jan 27, 2022",,,"€ 1,040,000",,F,,23.0,Starter,Spain,,,Girona,La Liga,2022-2023,AM,,"Jun 30, 2023",1.0,,,,,,,,,
241,Valentín Castellanos,"€ 17,500","€ 910,000",,"Jul 25, 2022",,,"€ 910,000",,F,,24.0,Starter,Argentina,,,Girona,La Liga,2022-2023,CF,,"Jun 30, 2023",1.0,,,,,,,,,
242,Paulo Gazzaniga,"€ 15,577","€ 810,000",,"Sep 1, 2022",,,"€ 810,000",,K,,31.0,Starter,Argentina,,,Girona,La Liga,2022-2023,GK,,"Jun 30, 2023",1.0,,,,,,,,,
243,Miguel Gutiérrez,"€ 15,000","€ 780,000",,"Aug 5, 2022",,,"€ 3,900,000","€ 40,000,000",D,,21.0,Starter,Spain,,,Girona,La Liga,2022-2023,LB,,"Jun 30, 2027",5.0,,,,,,,,,
244,Reinier,"€ 11,538","€ 600,000",,"Aug 19, 2022",,,"€ 600,000",,F,,21.0,Reserve,Brazil,,,Girona,La Liga,2022-2023,AM,,"Jun 30, 2023",1.0,,,,,,,,,
245,Toni Villa,"€ 10,385","€ 540,000",,"Sep 1, 2022",,,"€ 1,620,000",,F,,28.0,Starter,Spain,,,Girona,La Liga,2022-2023,LW,,"Jun 30, 2025",3.0,,,,,,,,,
246,Yan Couto,"€ 9,231","€ 480,000",,"Jul 25, 2022",,,"€ 480,000",,D,,20.0,Reserve,Brazil,,,Girona,La Liga,2022-2023,RB,,"Jun 30, 2023",1.0,,,,,,,,,
247,Rodrigo Riquelme,"€ 7,500","€ 390,000",,"Aug 1, 2022",,,"€ 390,000",,F,,22.0,Reserve,Spain,,,Girona,La Liga,2022-2023,RW,,"Jun 30, 2023",1.0,,,,,,,,,
248,Juan Carlos,"€ 7,115","€ 370,000",,"Jun 29, 2021",,,"€ 370,000",,K,,35.0,Reserve,Spain,,,Girona,La Liga,2022-2023,GK,,"Jun 30, 2023",1.0,,,,,,,,,
249,Borja García,"€ 5,962","€ 310,000",,"Sep 3, 2021",,,"€ 310,000",,F,,32.0,Starter,Spain,,,Girona,La Liga,2022-2023,AM,,"Jun 30, 2023",1.0,,,,,,,,,
250,Cristhian Stuani,"€ 5,577","€ 290,000",,"Jul 21, 2017",,,"€ 1,160,000",,F,,36.0,Reserve,Uruguay,,,Girona,La Liga,2022-2023,CF,,"Jun 30, 2026",4.0,,,,,,,,,
251,Juanpe,"€ 5,577","€ 290,000",,"Jul 7, 2016",,,"€ 290,000",,D,,31.0,Reserve,Spain,,,Girona,La Liga,2022-2023,CB,,"Jun 30, 2023",1.0,,,,,,,,,
252,Bernardo Espinosa,"€ 4,808","€ 250,000",,"Jul 7, 2017",,,"€ 250,000",,D,,33.0,Starter,Colombia,,,Girona,La Liga,2022-2023,CB,,"Jun 30, 2023",1.0,,,,,,,,,
253,Javi Hernández,"€ 4,038","€ 210,000",,"Aug 19, 2022",,,"€ 210,000",,D,,24.0,Reserve,Spain,,,Girona,La Liga,2022-2023,LB,,"Jun 30, 2023",1.0,,,,,,,,,
254,Ibrahima Kébé,"€ 3,462","€ 180,000",,"Aug 31, 2021",,,"€ 360,000",,M,,22.0,Reserve,Mali,,,Girona,La Liga,2022-2023,DM,,"Jun 30, 2024",2.0,,,,,,,,,
255,Arnau Martínez,"€ 3,077","€ 160,000",,"Jan 3, 2022",,,"€ 480,000",,D,,19.0,Starter,Spain,,,Girona,La Liga,2022-2023,RB,,"Jun 30, 2025",3.0,,,,,,,,,
256,Toni Fuidias,"€ 3,077","€ 160,000",,"Sep 1, 2022",,,"€ 480,000",,K,,21.0,Reserve,Spain,,,Girona,La Liga,2022-2023,GK,,"Jun 30, 2025",3.0,,,,,,,,,
257,Valery Fernández,"€ 2,981","€ 155,000",,"Feb 8, 2023",,,"€ 155,000",,F,,23.0,Reserve,Spain,,,Girona,La Liga,2022-2023,RW,,"Jun 30, 2023",1.0,,,,,,,,,
258,Santiago Bueno,"€ 2,981","€ 155,000",,"Jan 23, 2023",,,"€ 620,000",,D,,24.0,Starter,Uruguay,,,Girona,La Liga,2022-2023,CB,,"Jun 30, 2026",4.0,,,,,,,,,
259,Aleix García,"€ 2,981","€ 155,000",,"Jul 23, 2021",,,"€ 155,000",,M,,25.0,Starter,Spain,,,Girona,La Liga,2022-2023,CM,,"Jun 30, 2023",1.0,,,,,,,,,
260,Alexander Callens,€ 0,€ 0,,"Jan 23, 2023",,,€ 0,,D,,30.0,Reserve,Peru,,,Girona,La Liga,2022-2023,CB,,"Jun 30, 2025",3.0,,,,,,,,,
261,Viktor Tsyhankov,€ 0,€ 0,,"Jan 17, 2023",,,€ 0,,F,,25.0,Reserve,Ukraine,,,Girona,La Liga,2022-2023,RW,,"Jun 30, 2027",5.0,,,,,,,,,
262,Total,"€ 306,059","€ 15,915,000",€ 0,,,,"€ 28,270,000","€ 40,000,000",,,,,,,,Girona,La Liga,2022-2023,,,,,,,,,,,,,
263,Vedat Muriqi,"€ 88,077","€ 4,580,000",,"Jul 22, 2022",,,"€ 22,900,000",,F,,28.0,Starter,Kosovo,,,Mallorca,La Liga,2022-2023,,,,5.0,,CF,,"Jun 30, 2027",,,,,
264,Rodrigo Battaglia,"€ 25,385","€ 1,320,000",,"Jul 29, 2022",,,"€ 2,640,000",,M,,31.0,Reserve,Argentina,,,Mallorca,La Liga,2022-2023,,,,2.0,,DM,,"Jun 30, 2024",,,,,
265,Manu Morlanes,"€ 25,192","€ 1,310,000",,"Jan 31, 2023",,,"€ 1,310,000",,M,,24.0,Reserve,Spain,,,Mallorca,La Liga,2022-2023,,,,1.0,,CM,,"Jun 23, 2023",,,,,
266,Tino Kadewere,"€ 20,769","€ 1,080,000",,"Aug 29, 2022",,,"€ 1,080,000",,F,,27.0,Reserve,Zimbabwe,,,Mallorca,La Liga,2022-2023,,,,1.0,,CF,,"Jun 30, 2023",,,,,
267,Ludwig Augustinsson,"€ 20,577","€ 1,070,000",,"Jan 30, 2023",,,"€ 1,070,000",,D,,28.0,Starter,Sweden,,,Mallorca,La Liga,2022-2023,,,,1.0,,LB,,"Jun 30, 2023",,,,,
268,Pablo Maffeo,"€ 18,846","€ 980,000",,"Jun 10, 2022",,,"€ 3,920,000",,D,,25.0,Starter,Spain,,,Mallorca,La Liga,2022-2023,,,,4.0,,RB,,"Jun 30, 2026",,,,,
269,Predrag Rajković,"€ 16,154","€ 840,000",,"Jul 22, 2022",,,"€ 3,360,000",,K,,27.0,Starter,Serbia,,,Mallorca,La Liga,2022-2023,,,,4.0,,GK,,"Jun 30, 2026",,,,,
270,Iddrisu Baba,"€ 15,769","€ 820,000",,"Jul 22, 2019",,,"€ 1,640,000",,M,,27.0,Starter,Ghana,,,Mallorca,La Liga,2022-2023,,,,2.0,,CM,,"Jun 30, 2024",,,,,
271,Giovanni González,"€ 15,385","€ 800,000",,"Jan 29, 2022",,,"€ 1,600,000",,D,,28.0,Reserve,Uruguay,,,Mallorca,La Liga,2022-2023,,,,2.0,,RB,,"Jun 30, 2024",,,,,
272,Antonio Raíllo,"€ 15,000","€ 780,000",,"Jun 29, 2020",,,"€ 1,560,000",,D,,31.0,Starter,Spain,,,Mallorca,La Liga,2022-2023,,,,2.0,,CB,,"Jun 30, 2024",,,,,
273,Martin Valjent,"€ 13,462","€ 700,000",,"Feb 23, 2021",,,"€ 2,100,000",,D,,27.0,Starter,Slovakia,,,Mallorca,La Liga,2022-2023,,,,3.0,,CB,,"Jun 30, 2025",,,,,
274,Iñigo Ruiz de Galarreta,"€ 12,692","€ 660,000",,"Sep 1, 2019",,,"€ 660,000",,M,,29.0,Starter,Spain,,,Mallorca,La Liga,2022-2023,,,,1.0,,CM,,"Jun 30, 2023",,,,,
275,Clément Grenier,"€ 10,385","€ 540,000",,"Jun 15, 2022",,,"€ 1,080,000",,M,,32.0,Reserve,France,,,Mallorca,La Liga,2022-2023,,,,2.0,,CM,,"Jun 30, 2024",,,,,
276,Dani Rodríguez,"€ 8,462","€ 440,000",,"Jun 1, 2022",,,"€ 880,000",,F,,34.0,Starter,Spain,,,Mallorca,La Liga,2022-2023,,,,2.0,,AM,,"Jun 30, 2024",,,,,
277,Amath Ndiaye,"€ 8,077","€ 420,000",,"Jul 1, 2021",,,"€ 1,260,000",,F,,26.0,Reserve,Senegal,,,Mallorca,La Liga,2022-2023,,,,3.0,,LW,,"Jun 30, 2025",,,,,
278,Antonio Sánchez,"€ 7,500","€ 390,000",,"Jun 9, 2021",,,"€ 780,000",,M,,25.0,Reserve,Spain,,,Mallorca,La Liga,2022-2023,,,,2.0,,CM,,"Jun 30, 2024",,,,,
279,Matija Nastasić,"€ 6,923","€ 360,000",,"Sep 1, 2022",,,"€ 360,000",,D,,29.0,Starter,Serbia,,,Mallorca,La Liga,2022-2023,,,,1.0,,CB,,"Jun 30, 2023",,,,,
280,Ángel Rodríguez,"€ 6,538","€ 340,000",,"Jul 2, 2021",,,"€ 340,000",,F,,35.0,Reserve,Spain,,,Mallorca,La Liga,2022-2023,,,,1.0,,CF,,"Jun 30, 2023",,,,,
281,Jaume Costa,"€ 6,346","€ 330,000",,"Jul 7, 2021",,,"€ 330,000",,D,,34.0,Reserve,Spain,,,Mallorca,La Liga,2022-2023,,,,1.0,,LB,,"Jun 30, 2023",,,,,
282,Dominik Greif,"€ 5,769","€ 300,000",,"Jul 6, 2021",,,"€ 1,200,000",,K,,25.0,Reserve,Slovakia,,,Mallorca,La Liga,2022-2023,,,,4.0,,GK,,"Jun 30, 2026",,,,,
283,Leo Román,"€ 5,192","€ 270,000",,"Jul 12, 2022",,,"€ 1,080,000",,K,,22.0,Reserve,Spain,,,Mallorca,La Liga,2022-2023,,,,4.0,,GK,,"Jun 30, 2026",,,,,
284,Kang-in Lee,"€ 4,808","€ 250,000",,"Aug 30, 2021",,,"€ 750,000","€ 30,000,000",F,,21.0,Starter,South Korea,,,Mallorca,La Liga,2022-2023,,,,3.0,,AM,,"Jun 30, 2025",,,,,
285,Abdón Prats,"€ 4,423","€ 230,000",,"May 11, 2021",,,"€ 460,000",,F,,30.0,Reserve,Spain,,,Mallorca,La Liga,2022-2023,,,,2.0,,CF,,"Jun 30, 2024",,,,,
286,José Copete,"€ 4,038","€ 210,000",,"Jul 1, 2022",,,"€ 840,000",,D,,23.0,Reserve,Spain,,,Mallorca,La Liga,2022-2023,,,,4.0,,CB,,"Jun 30, 2026",,,,,
287,Dennis Hadzikadunic,€ 0,€ 0,,"Jan 18, 2023",,,€ 0,,D,,24.0,Reserve,Bosnia-Herzegovina,,,Mallorca,La Liga,2022-2023,,,,1.0,,CB,,"Jun 30, 2023",,,,,
288,Braian Cufré,€ 0,€ 0,,"Sep 28, 2020",,,€ 0,,D,,26.0,Reserve,Argentina,,,Mallorca,La Liga,2022-2023,,,,2.0,,LB,,"Jun 30, 2024",,,,,
289,Total,"€ 365,769","€ 19,020,000",€ 0,,,,"€ 53,200,000","€ 30,000,000",,,,,,,,Mallorca,La Liga,2022-2023,,,,,,,,,,,,,
290,Aitor Fernández,"€ 28,846","€ 1,500,000",,"Jul 2, 2022",,,"€ 4,500,000","€ 14,000,000",K,,31.0,Starter,Spain,,,Osasuna,La Liga,2022-2023,GK,,,,,,,,"Jun 30, 2025",3.0,,,
291,Chimy Ávila,"€ 28,846","€ 1,500,000",,"Mar 15, 2022",,,"€ 6,000,000",,F,,28.0,Starter,Argentina,,,Osasuna,La Liga,2022-2023,CF,,,,,,,,"Jun 30, 2026",4.0,,,
292,Rubén García,"€ 25,962","€ 1,350,000",,"Oct 7, 2020",,,"€ 2,700,000",,F,,29.0,Reserve,Spain,,,Osasuna,La Liga,2022-2023,LW,,,,,,,,"Jun 30, 2024",2.0,,,
293,Manu Sánchez,"€ 24,231","€ 1,260,000",,"Jul 27, 2022",,,"€ 1,260,000",,D,,22.0,Starter,Spain,,,Osasuna,La Liga,2022-2023,LB,,,,,,,,"Jun 30, 2023",1.0,,,
294,Moi Gómez,"€ 22,115","€ 1,150,000",,"Jul 28, 2022",,,"€ 5,750,000","€ 20,000,000",F,,28.0,Starter,Spain,,,Osasuna,La Liga,2022-2023,LW,,,,,,,,"Jun 30, 2027",5.0,,,
295,Unai García,"€ 21,923","€ 1,140,000",,"Dec 7, 2022",,,"€ 3,420,000","€ 20,000,000",D,,30.0,Reserve,Spain,,,Osasuna,La Liga,2022-2023,CB,,,,,,,,"Jun 30, 2025",3.0,,,
296,Nacho Vidal,"€ 19,423","€ 1,010,000",,"Jul 20, 2021",,,"€ 3,030,000",,D,,28.0,Reserve,Spain,,,Osasuna,La Liga,2022-2023,RB,,,,,,,,"Jun 30, 2025",3.0,,,
297,Juan Cruz,"€ 18,462","€ 960,000",,"Dec 13, 2022",,,"€ 3,840,000","€ 15,000,000",D,,30.0,Starter,Spain,,,Osasuna,La Liga,2022-2023,LB,,,,,,,,"Jun 30, 2026",4.0,,,
298,Sergio Herrera,"€ 18,269","€ 950,000",,"Dec 8, 2021",,,"€ 950,000",,K,,29.0,Reserve,Spain,,,Osasuna,La Liga,2022-2023,GK,,,,,,,,"Jun 30, 2023",1.0,,,
299,Darko Brasanac,"€ 14,808","€ 770,000",,"Jan 16, 2021",,,"€ 770,000",,M,,30.0,Reserve,Serbia,,,Osasuna,La Liga,2022-2023,CM,,,,,,,,"Jun 30, 2023",1.0,,,
300,Rubén Peña,"€ 13,846","€ 720,000",,"Jul 1, 2022",,,"€ 2,160,000",,D,,31.0,Reserve,Spain,,,Osasuna,La Liga,2022-2023,RB,,,,,,,,"Jun 30, 2025",3.0,,,
301,Kike García,"€ 12,308","€ 640,000",,"Jul 1, 2021",,,"€ 1,280,000",,F,,33.0,Reserve,Spain,,,Osasuna,La Liga,2022-2023,CF,,,,,,,,"Jun 30, 2024",2.0,,,
302,Ante Budimir,"€ 12,115","€ 630,000",,"Jul 1, 2021",,,"€ 1,890,000",,F,,31.0,Starter,Croatia,,,Osasuna,La Liga,2022-2023,CF,,,,,,,,"Jun 30, 2025",3.0,,,
303,David García,"€ 11,923","€ 620,000",,"May 3, 2021",,,"€ 2,480,000",,D,,28.0,Reserve,Spain,,,Osasuna,La Liga,2022-2023,CB,,,,,,,,"Jun 30, 2026",4.0,,,
304,Aridane Hernández,"€ 11,731","€ 610,000",,"Jul 20, 2020",,,"€ 610,000",,D,,33.0,Starter,Spain,,,Osasuna,La Liga,2022-2023,CB,,,,,,,,"Jun 30, 2023",1.0,,,
305,Jon Moncayola,"€ 9,615","€ 500,000",,"Jun 8, 2021",,,"€ 4,500,000",,M,,24.0,Starter,Spain,,,Osasuna,La Liga,2022-2023,CM,,,,,,,,"Jun 30, 2031",9.0,,,
306,Kike Barja,"€ 8,846","€ 460,000",,"Dec 13, 2021",,,"€ 1,840,000",,F,,25.0,Starter,Spain,,,Osasuna,La Liga,2022-2023,RW,,,,,,,,"Jun 30, 2026",4.0,,,
307,Lucas Torró,"€ 8,654","€ 450,000",,"Jun 9, 2022",,,"€ 2,250,000",,M,,28.0,Starter,Spain,,,Osasuna,La Liga,2022-2023,DM,,,,,,,,"Jun 30, 2027",5.0,,,
308,Aimar Oroz,"€ 6,923","€ 360,000",,"Jul 1, 2022",,,"€ 1,440,000",,F,,21.0,Reserve,Spain,,,Osasuna,La Liga,2022-2023,AM,,,,,,,,"Jun 30, 2026",4.0,,,
309,Pablo Ibáñez,"€ 3,462","€ 180,000",,"Jul 1, 2022",,,"€ 360,000",,M,,24.0,Starter,Spain,,,Osasuna,La Liga,2022-2023,CM,,,,,,,,"Jun 30, 2024",2.0,,,
310,Abde Ezzalzouli,"€ 3,462","€ 180,000",,"Sep 1, 2022",,,"€ 180,000",,F,,21.0,Reserve,Morocco,,,Osasuna,La Liga,2022-2023,LW,,,,,,,,"Jun 30, 2023",1.0,,,
