,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Jamie Vardy,"£ 140,000","£ 7,280,000",,"Aug 20, 2022","Jun 30, 2024",2,"£ 14,560,000",,F,CF,36,Reserve,England,,,Leicester,Premier League,2022-2023
1,James Maddison,"£ 110,000","£ 5,720,000",,"Aug 24, 2020","Jun 30, 2024",2,"£ 11,440,000",,F,AM,26,Starter,England,,,Leicester,Premier League,2022-2023
2,Jonny Evans,"£ 100,000","£ 5,200,000",,"Dec 31, 2020","Jun 30, 2023",1,"£ 5,200,000",,D,CB,35,Reserve,Northern Ireland,,,Leicester,Premier League,2022-2023
3,Kelechi Iheanacho,"£ 80,000","£ 4,160,000",,"Apr 3, 2021","Jun 30, 2024",2,"£ 8,320,000",,F,CF,26,Starter,Nigeria,,,Leicester,Premier League,2022-2023
4,Ryan Bertrand,"£ 80,000","£ 4,160,000",,"Jul 15, 2021","Jun 30, 2023",1,"£ 4,160,000",,D,LB,33,Reserve,England,,,Leicester,Premier League,2022-2023
5,Boubakary Soumaré,"£ 80,000","£ 4,160,000",,"Jul 2, 2021","Jun 30, 2026",4,"£ 16,640,000",,M,DM,23,Reserve,France,,,Leicester,Premier League,2022-2023
6,Ricardo Pereira,"£ 80,000","£ 4,160,000",,"Feb 18, 2022","Jun 30, 2026",4,"£ 16,640,000",,D,RB,29,Reserve,Portugal,,,Leicester,Premier League,2022-2023
7,Patson Daka,"£ 75,000","£ 3,900,000",,"Jul 1, 2021","Jun 30, 2026",4,"£ 15,600,000",,F,CF,24,Reserve,Zambia,,,Leicester,Premier League,2022-2023
8,Wilfred Ndidi,"£ 75,000","£ 3,900,000",,"Aug 19, 2018","Jun 30, 2024",2,"£ 7,800,000",,M,DM,26,Reserve,Nigeria,,,Leicester,Premier League,2022-2023
9,Dennis Praet,"£ 75,000","£ 3,900,000",,"Aug 8, 2019","Jun 30, 2024",2,"£ 7,800,000",,M,CM,28,Reserve,Belgium,,,Leicester,Premier League,2022-2023
10,Jannik Vestergaard,"£ 70,000","£ 3,640,000",,"Aug 13, 2021","Jun 30, 2024",2,"£ 7,280,000",,D,CB,30,Reserve,Denmark,,,Leicester,Premier League,2022-2023
11,Timothy Castagne,"£ 65,000","£ 3,380,000",,"Sep 3, 2020","Jun 30, 2025",3,"£ 10,140,000",,D,RB,27,Starter,Belgium,,,Leicester,Premier League,2022-2023
12,Nampalys Mendy,"£ 55,000","£ 2,860,000",,"Aug 24, 2020","Jun 30, 2023",1,"£ 2,860,000",,M,DM,30,Starter,Senegal,,,Leicester,Premier League,2022-2023
13,Wout Faes,"£ 50,000","£ 2,600,000",,"Sep 1, 2022","Jun 30, 2027",5,"£ 13,000,000",,D,CB,24,Starter,Belgium,,,Leicester,Premier League,2022-2023
14,Tetê,"£ 50,000","£ 2,600,000",,"Jan 29, 2023","Jun 30, 2023",1,"£ 2,600,000",,F,RW,22,Starter,Brazil,,,Leicester,Premier League,2022-2023
15,Caglar Söyüncü,"£ 45,000","£ 2,340,000",,"Aug 9, 2018","Jun 30, 2023",1,"£ 2,340,000",,D,CB,26,Reserve,Turkey,,,Leicester,Premier League,2022-2023
16,Harry Souttar,"£ 40,000","£ 2,080,000",,"Jan 31, 2023","Jun 30, 2028",6,"£ 12,480,000",,D,CB,24,Starter,Australia,,,Leicester,Premier League,2022-2023
17,Danny Ward,"£ 40,000","£ 2,080,000",,"Apr 15, 2021","Jun 30, 2025",3,"£ 6,240,000",,K,GK,29,Starter,Wales,,,Leicester,Premier League,2022-2023
18,Youri Tielemans,"£ 35,000","£ 1,820,000",,"Jul 8, 2019","Jun 30, 2023",1,"£ 1,820,000",,M,CM,25,Reserve,Belgium,,,Leicester,Premier League,2022-2023
19,Harvey Barnes,"£ 35,000","£ 1,820,000",,"Aug 19, 2021","Jun 30, 2025",3,"£ 5,460,000",,F,LW,25,Starter,England,,,Leicester,Premier League,2022-2023
20,James Justin,"£ 30,000","£ 1,560,000",,"Feb 23, 2022","Jun 30, 2026",4,"£ 6,240,000",,D,RB,24,Reserve,England,,,Leicester,Premier League,2022-2023
21,Alex Smithies,"£ 30,000","£ 1,560,000",,"Aug 12, 2022","Jun 30, 2024",2,"£ 3,120,000",,K,GK,32,Reserve,England,,,Leicester,Premier League,2022-2023
22,Victor Kristiansen,"£ 25,000","£ 1,300,000",,"Jan 20, 2023","Jun 30, 2028",6,"£ 7,800,000",,D,LB,20,Starter,Denmark,,,Leicester,Premier League,2022-2023
23,Daniel Iversen,"£ 20,000","£ 1,040,000",,"Jul 1, 2020","Jun 30, 2025",3,"£ 3,120,000",,K,GK,25,Reserve,Denmark,,,Leicester,Premier League,2022-2023
24,Daniel Amartey,"£ 20,000","£ 1,040,000",,"Jan 22, 2016","Jun 30, 2023",1,"£ 1,040,000",,D,CB,28,Reserve,Ghana,,,Leicester,Premier League,2022-2023
25,Kiernan Dewsbury-Hall,"£ 20,000","£ 1,040,000",,"Jun 24, 2022","Jun 30, 2027",5,"£ 5,200,000",,M,CM,24,Starter,England,,,Leicester,Premier League,2022-2023
26,Luke Thomas,"£ 10,000","£ 520,000",,"Aug 25, 2020","Jun 30, 2024",2,"£ 1,040,000",,D,LB,21,Reserve,England,,,Leicester,Premier League,2022-2023
27,Total,"£ 1,535,000","£ 79,820,000",£ 0,,,,"£ 199,940,000",£ 0,,,,,,,,Leicester,Premier League,2022-2023
