,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMRBRMSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Lautaro Martínez,"€ 213,654","€ 11,110,000",,"Oct 28, 2021","Jun 30, 2026",4,"€ 44,440,000",,F,CF,25,Reserve,Argentina,,,Inter Milan,Serie A,2022-2023
1,Marcelo Brozovic,"€ 213,654","€ 11,110,000",,"Mar 23, 2022","Jun 30, 2026",4,"€ 44,440,000",,M,DM,30,Starter,Croatia,,,Inter Milan,Serie A,2022-2023
2,Romelu Lukaku,"€ 209,615","€ 10,900,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 10,900,000",,F,CF,29,Reserve,Belgium,,,Inter Milan,Serie A,2022-2023
3,Hakan Calhanoglu,"€ 178,077","€ 9,260,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 18,520,000",,M,CM,28,Starter,Turkey,,,Inter Milan,Serie A,2022-2023
4,Nicolò Barella,"€ 178,077","€ 9,260,000",,"Nov 5, 2021","Jun 30, 2026",4,"€ 37,040,000",,M,CM,25,Starter,Italy,,,Inter Milan,Serie A,2022-2023
5,Edin Dzeko,"€ 178,077","€ 9,260,000",,"Aug 14, 2021","Jun 30, 2023",1,"€ 9,260,000",,F,CF,36,Starter,Bosnia-Herzegovina,,,Inter Milan,Serie A,2022-2023
6,Stefan de Vrij,"€ 135,385","€ 7,040,000",,"Jul 1, 2018","Jun 30, 2023",1,"€ 7,040,000",,D,CB,30,Starter,Netherlands,,,Inter Milan,Serie A,2022-2023
7,Joaquín Correa,"€ 124,615","€ 6,480,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 19,440,000",,F,SS,28,Reserve,Argentina,,,Inter Milan,Serie A,2022-2023
8,Alexis Sánchez,"€ 110,962","€ 5,770,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 5,770,000",,F,CF,33,Reserve,Chile,,,Inter Milan,Serie A,2022-2023
9,Milan Skriniar,"€ 106,923","€ 5,560,000",,"May 16, 2019","Jun 30, 2023",1,"€ 5,560,000",,D,CB,27,Starter,Slovakia,,,Inter Milan,Serie A,2022-2023
10,Alessandro Bastoni,"€ 99,808","€ 5,190,000",,"May 28, 2021","Jun 30, 2024",2,"€ 10,380,000",,D,CB,23,Starter,Italy,,,Inter Milan,Serie A,2022-2023
11,Henrikh Mkhitaryan,"€ 93,654","€ 4,870,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 9,740,000",,F,AM,34,Starter,Armenia,,,Inter Milan,Serie A,2022-2023
12,Robin Gosens,"€ 89,038","€ 4,630,000",,"Jan 27, 2022","Jun 30, 2023",1,"€ 4,630,000",,M,LM,28,Reserve,Germany,,,Inter Milan,Serie A,2022-2023
13,Samir Handanovic,"€ 89,038","€ 4,630,000",,"Jul 9, 2022","Jun 30, 2023",1,"€ 4,630,000",,K,GK,38,Reserve,Slovenia,,,Inter Milan,Serie A,2022-2023
14,André Onana,"€ 74,038","€ 3,850,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 19,250,000",,K,GK,26,Starter,Cameroon,,,Inter Milan,Serie A,2022-2023
15,Danilo D'Ambrosio,"€ 71,154","€ 3,700,000",,"Jun 28, 2021","Jun 30, 2023",1,"€ 3,700,000",,D,CB,34,Reserve,Italy,,,Inter Milan,Serie A,2022-2023
16,Denzel Dumfries,"€ 61,731","€ 3,210,000",,"Aug 14, 2021","Jun 30, 2025",3,"€ 9,630,000",,M,RM,26,Starter,Netherlands,,,Inter Milan,Serie A,2022-2023
17,Matteo Darmian,"€ 61,731","€ 3,210,000",,"Feb 2, 2023","Jun 30, 2024",2,"€ 6,420,000",,D,RB,33,Starter,Italy,,,Inter Milan,Serie A,2022-2023
18,Federico Dimarco,"€ 56,923","€ 2,960,000",,"Dec 23, 2021","Jun 30, 2026",4,"€ 11,840,000",,D,LB,25,Reserve,Italy,,,Inter Milan,Serie A,2022-2023
19,Roberto Gagliardini,"€ 53,462","€ 2,780,000",,"Oct 25, 2018","Jun 30, 2023",1,"€ 2,780,000",,M,CM,28,Reserve,Italy,,,Inter Milan,Serie A,2022-2023
20,Francesco Acerbi,"€ 53,462","€ 2,780,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 2,780,000",,D,CB,34,Reserve,Italy,,,Inter Milan,Serie A,2022-2023
21,Dalbert,"€ 42,692","€ 2,220,000",,"Oct 25, 2018","Jun 30, 2023",1,"€ 2,220,000",,D,LB,29,Reserve,Brazil,,,Inter Milan,Serie A,2022-2023
22,Raoul Bellanova,"€ 32,115","€ 1,670,000",,"Jul 6, 2022","Jun 30, 2023",1,"€ 1,670,000",,D,RB,22,Reserve,Italy,,,Inter Milan,Serie A,2022-2023
23,Kristjan Asllani,"€ 29,615","€ 1,540,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 1,540,000",,M,DM,20,Reserve,Albania,,,Inter Milan,Serie A,2022-2023
24,Alex Cordaz,"€ 5,385","€ 280,000",,"Jun 23, 2022","Jun 30, 2023",1,"€ 280,000",,K,GK,40,Reserve,Italy,,,Inter Milan,Serie A,2022-2023
25,Mattia Zanotti,"€ 2,115","€ 110,000",,"Oct 1, 2021","Jun 30, 2025",3,"€ 330,000",,D,RB,20,Reserve,Italy,,,Inter Milan,Serie A,2022-2023
26,Valentín Carboni,"€ 1,731","€ 90,000",,"Sep 1, 2020","Jun 30, 2023",1,"€ 90,000",,F,AM,17,Reserve,Argentina,,,Inter Milan,Serie A,2022-2023
27,Alessandro Fontanarosa,"€ 1,346","€ 70,000",,"Aug 20, 2019","Jun 30, 2023",1,"€ 70,000",,D,CB,19,Reserve,Italy,,,Inter Milan,Serie A,2022-2023
28,Total,"€ 2,568,077","€ 133,540,000",€ 0,,,,"€ 294,390,000",€ 0,,,,,,,,Inter Milan,Serie A,2022-2023
