,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Pablo Marí,"€ 100,000","€ 5,200,000",,"Aug 11, 2022","Jun 30, 2023",1,"€ 5,200,000",,D,CB,29,Starter,Spain,,,Monza,Serie A,2022-2023
1,Stefano Sensi,"€ 71,154","€ 3,700,000",,"Jul 2, 2022","Jun 30, 2023",1,"€ 3,700,000",,M,CM,27,Starter,Italy,,,Monza,Serie A,2022-2023
2,Andrea Petagna,"€ 64,038","€ 3,330,000",,"Aug 12, 2022","Jun 30, 2023",1,"€ 3,330,000",,F,CF,27,Starter,Italy,,,Monza,Serie A,2022-2023
3,Armando Izzo,"€ 60,577","€ 3,150,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 3,150,000",,D,CB,30,Starter,Italy,,,Monza,Serie A,2022-2023
4,Marlon,"€ 49,231","€ 2,560,000",,"Aug 5, 2022","Jun 30, 2023",1,"€ 2,560,000",,D,CB,27,Starter,Brazil,,,Monza,Serie A,2022-2023
5,Nicolò Rovella,"€ 35,577","€ 1,850,000",,"Aug 31, 2022","Jun 30, 2023",1,"€ 1,850,000",,M,DM,21,Starter,Italy,,,Monza,Serie A,2022-2023
6,Alessio Cragno,"€ 35,577","€ 1,850,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 1,850,000",,K,GK,28,Reserve,Italy,,,Monza,Serie A,2022-2023
7,Gianluca Caprari,"€ 32,115","€ 1,670,000",,"Jul 21, 2022","Jun 30, 2023",1,"€ 1,670,000",,F,SS,29,Starter,Italy,,,Monza,Serie A,2022-2023
8,Matteo Pessina,"€ 28,462","€ 1,480,000",,"Jul 6, 2022","Jun 30, 2023",1,"€ 1,480,000",,F,AM,25,Starter,Italy,,,Monza,Serie A,2022-2023
9,Luca Caldirola,"€ 24,231","€ 1,260,000",,"Jul 17, 2021","Jun 30, 2023",1,"€ 1,260,000",,D,CB,32,Reserve,Italy,,,Monza,Serie A,2022-2023
10,Patrick Ciurria,"€ 24,231","€ 1,260,000",,"Jul 31, 2021","Jun 30, 2024",2,"€ 2,520,000",,F,RW,27,Starter,Italy,,,Monza,Serie A,2022-2023
11,Christian Gytkjaer,"€ 21,538","€ 1,120,000",,"Feb 7, 2022","Jun 30, 2023",1,"€ 1,120,000",,F,CF,32,Reserve,Denmark,,,Monza,Serie A,2022-2023
12,Luca Marrone,"€ 20,385","€ 1,060,000",,"Aug 31, 2021","Jun 30, 2023",1,"€ 1,060,000",,D,CB,32,Reserve,Italy,,,Monza,Serie A,2022-2023
13,Andrea Barberis,"€ 17,115","€ 890,000",,"Sep 1, 2020","Jun 30, 2023",1,"€ 890,000",,M,DM,29,Reserve,Italy,,,Monza,Serie A,2022-2023
14,Samuele Birindelli,"€ 15,962","€ 830,000",,"Jul 7, 2022","Jun 30, 2026",4,"€ 3,320,000",,D,RB,23,Reserve,Italy,,,Monza,Serie A,2022-2023
15,Michele Di Gregorio,"€ 15,962","€ 830,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,490,000",,K,GK,25,Starter,Italy,,,Monza,Serie A,2022-2023
16,Valentin Antov,"€ 14,808","€ 770,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 770,000",,D,CB,22,Reserve,Bulgaria,,,Monza,Serie A,2022-2023
17,Marco D'Alessandro,"€ 14,231","€ 740,000",,"Jan 27, 2021","Jun 30, 2023",1,"€ 740,000",,F,RW,31,Reserve,Italy,,,Monza,Serie A,2022-2023
18,Mattia Valoti,"€ 12,500","€ 650,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,950,000",,M,CM,29,Reserve,Italy,,,Monza,Serie A,2022-2023
19,Carlos Augusto,"€ 12,115","€ 630,000",,"Sep 1, 2020","Jun 30, 2024",2,"€ 1,260,000",,D,LB,24,Reserve,Brazil,,,Monza,Serie A,2022-2023
20,Gabriel Paletta,"€ 11,731","€ 610,000",,"Nov 6, 2019","Jun 30, 2023",1,"€ 610,000",,D,CB,36,Reserve,Italy,,,Monza,Serie A,2022-2023
21,Mirko Maric,"€ 10,192","€ 530,000",,"Sep 1, 2020","Jun 30, 2025",3,"€ 1,590,000",,F,CF,27,Reserve,Croatia,,,Monza,Serie A,2022-2023
22,Filippo Ranocchia,"€ 8,846","€ 460,000",,"Jul 21, 2022","Jun 30, 2023",1,"€ 460,000",,M,CM,21,Reserve,Italy,,,Monza,Serie A,2022-2023
23,Dany Mota,"€ 8,462","€ 440,000",,"Jul 1, 2020","Jun 30, 2024",2,"€ 880,000",,F,CF,24,Reserve,Portugal,,,Monza,Serie A,2022-2023
24,Giulio Donati,"€ 6,731","€ 350,000",,"Sep 1, 2020","Jun 30, 2023",1,"€ 350,000",,D,RB,32,Starter,Italy,,,Monza,Serie A,2022-2023
25,Eugenio Lamanna,"€ 5,385","€ 280,000",,"Jul 13, 2019","Jun 30, 2023",1,"€ 280,000",,K,GK,33,Reserve,Italy,,,Monza,Serie A,2022-2023
26,Franco Carboni,"€ 4,615","€ 240,000",,"Jan 24, 2023","Jun 30, 2024",2,"€ 480,000",,D,LB,19,Reserve,Argentina,,,Monza,Serie A,2022-2023
27,Andrea Colpani,"€ 3,269","€ 170,000",,"Jun 6, 2022","Jun 30, 2026",4,"€ 680,000",,M,CM,23,Reserve,Italy,,,Monza,Serie A,2022-2023
28,Alessandro Sorrentino,"€ 2,885","€ 150,000",,"Jul 13, 2022","Jun 30, 2027",5,"€ 750,000",,K,GK,20,Reserve,Italy,,,Monza,Serie A,2022-2023
29,José Machín,"€ 1,346","€ 70,000",,"Jul 1, 2020","Jun 30, 2024",2,"€ 140,000",,M,CM,26,Reserve,Equatorial Guinea,,,Monza,Serie A,2022-2023
30,Samuele Vignato,€ 769,"€ 40,000",,"Feb 25, 2022","Jun 30, 2025",3,"€ 120,000",,F,AM,18,Reserve,Italy,,,Monza,Serie A,2022-2023
31,Total,"€ 734,040","€ 38,170,000",€ 0,,,,"€ 48,510,000",€ 0,,,,,,,,Monza,Serie A,2022-2023
