,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Piotr Zielinski,"€ 124,615","€ 6,480,000",,"Aug 31, 2020","Jun 30, 2024",2,"€ 12,960,000","€ 100,000,000",M,CM,28,Starter,Poland,,,Napoli,Serie A,2022-2023
1,Victor Osimhen,"€ 104,808","€ 5,450,000",,"Sep 1, 2020","Jun 30, 2025",3,"€ 16,350,000","€ 100,000,000",F,CF,24,Starter,Nigeria,,,Napoli,Serie A,2022-2023
2,Hirving Lozano,"€ 98,654","€ 5,130,000",,"Aug 23, 2019","Jun 30, 2024",2,"€ 10,260,000","€ 130,000,000",F,RW,27,Starter,Mexico,,,Napoli,Serie A,2022-2023
3,Giacomo Raspadori,"€ 89,038","€ 4,630,000","€ 930,000","Aug 20, 2022","Jun 30, 2023",1,"€ 4,630,000",,F,SS,22,Reserve,Italy,,,Napoli,Serie A,2022-2023
4,Giovanni Di Lorenzo,"€ 85,385","€ 4,440,000",,"Jul 15, 2021","Jun 30, 2026",4,"€ 17,760,000",,D,RB,29,Starter,Italy,,,Napoli,Serie A,2022-2023
5,Matteo Politano,"€ 78,269","€ 4,070,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 8,140,000",,F,RW,29,Reserve,Italy,,,Napoli,Serie A,2022-2023
6,Mário Rui,"€ 74,808","€ 3,890,000",,"Aug 18, 2020","Jun 30, 2025",3,"€ 11,670,000",,D,LB,31,Starter,Portugal,,,Napoli,Serie A,2022-2023
7,Stanislav Lobotka,"€ 69,038","€ 3,590,000","€ 640,000","Mar 15, 2023","Jun 30, 2027",5,"€ 17,950,000",,M,DM,28,Starter,Slovakia,,,Napoli,Serie A,2022-2023
8,André Zambo Anguissa,"€ 66,538","€ 3,460,000","€ 380,000","Nov 11, 2022","Jun 30, 2025",3,"€ 10,380,000",,M,CM,27,Starter,Cameroon,,,Napoli,Serie A,2022-2023
9,Giovanni Simeone,"€ 64,038","€ 3,330,000",,"Aug 18, 2022","Jun 30, 2023",1,"€ 3,330,000",,F,CF,27,Reserve,Argentina,,,Napoli,Serie A,2022-2023
10,Min-jae Kim,"€ 61,731","€ 3,210,000",,"Jul 27, 2022","Jun 30, 2025",3,"€ 9,630,000","€ 45,000,000",D,CB,26,Starter,South Korea,,,Napoli,Serie A,2022-2023
11,Diego Demme,"€ 61,731","€ 3,210,000",,"Jan 11, 2020","Jun 30, 2024",2,"€ 6,420,000",,M,DM,31,Reserve,Germany,,,Napoli,Serie A,2022-2023
12,Tanguy Ndombélé,"€ 61,731","€ 3,210,000",,"Aug 19, 2022","Jun 30, 2023",1,"€ 3,210,000",,M,CM,26,Reserve,France,,,Napoli,Serie A,2022-2023
13,Alex Meret,"€ 53,462","€ 2,780,000","€ 930,000","Oct 5, 2022","Jun 30, 2024",2,"€ 5,560,000",,K,GK,25,Starter,Italy,,,Napoli,Serie A,2022-2023
14,Amir Rrahmani,"€ 44,423","€ 2,310,000",,"Jan 20, 2020","Jun 30, 2024",2,"€ 4,620,000",,D,CB,28,Starter,Kosovo,,,Napoli,Serie A,2022-2023
15,Juan Jesus,"€ 42,692","€ 2,220,000",,"May 27, 2022","Jun 30, 2023",1,"€ 2,220,000",,D,CB,31,Reserve,Brazil,,,Napoli,Serie A,2022-2023
16,Mathías Olivera,"€ 36,923","€ 1,920,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 9,600,000",,D,LB,25,Reserve,Uruguay,,,Napoli,Serie A,2022-2023
17,Eljif Elmas,"€ 36,923","€ 1,920,000",,"Aug 18, 2020","Jun 30, 2025",3,"€ 5,760,000",,M,CM,23,Reserve,North Macedonia,,,Napoli,Serie A,2022-2023
18,Leo Östigard,"€ 29,615","€ 1,540,000",,"Jul 18, 2022","Jun 30, 2023",1,"€ 1,540,000",,D,CB,23,Reserve,Norway,,,Napoli,Serie A,2022-2023
19,Khvicha Kvaratskhelia,"€ 29,615","€ 1,540,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 7,700,000",,F,LW,21,Starter,Georgia,,,Napoli,Serie A,2022-2023
20,Pierluigi Gollini,"€ 28,462","€ 1,480,000",,"Jan 25, 2023","Jun 30, 2023",1,"€ 1,480,000",,K,GK,27,Reserve,Italy,,,Napoli,Serie A,2022-2023
21,Bartosz Bereszynski,"€ 15,962","€ 830,000",,"Jan 7, 2023","Jun 30, 2023",1,"€ 830,000",,D,RB,30,Reserve,Poland,,,Napoli,Serie A,2022-2023
22,Alessio Zerbin,"€ 6,346","€ 330,000",,"Oct 5, 2022","Jun 30, 2027",5,"€ 1,650,000",,F,LW,23,Reserve,Italy,,,Napoli,Serie A,2022-2023
23,Gianluca Gaetano,"€ 3,654","€ 190,000",,"Jul 1, 2019","Jun 30, 2025",3,"€ 570,000",,F,AM,22,Reserve,Italy,,,Napoli,Serie A,2022-2023
24,Davide Marfella,"€ 1,731","€ 90,000",,"Aug 19, 2021","Jun 30, 2023",1,"€ 90,000",,K,GK,23,Reserve,Italy,,,Napoli,Serie A,2022-2023
25,Hubert Idasiak,"€ 1,346","€ 70,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 140,000",,K,GK,20,Reserve,Poland,,,Napoli,Serie A,2022-2023
26,Karim Zedadka,"€ 1,154","€ 60,000",,"Sep 1, 2020","Jun 30, 2023",1,"€ 60,000",,M,LM,22,Reserve,Algeria,,,Napoli,Serie A,2022-2023
27,Total,"€ 1,372,692","€ 71,380,000","€ 2,880,000",,,,"€ 174,510,000","€ 375,000,000",,,,,,,,Napoli,Serie A,2022-2023
